@RELATION fundus

@ATTRIBUTE RED_AVG2 REAL
@ATTRIBUTE RED_MAX1 REAL
@ATTRIBUTE GREEN_AVG1 REAL
@ATTRIBUTE GREEN_MAX1 REAL
@ATTRIBUTE BLUE_MAX1 REAL
@ATTRIBUTE class {r,¬r}

@DATA
0.0119805482,0.0061892131,0.0080991559,0.0334081276,0.0642447419,r
0.0059509203,0.0285276074,0.0079233160,0.0197995600,0.0643431635,¬r
0.0038378211,0.0105230579,0.0067913351,0.0172370722,0.0593869732,¬r
0.0157130151,0.0154165431,0.0077231082,0.0446555819,0.1125426298,¬r
0.0093599547,0.0090625885,0.0065898723,0.0241212957,0.0751822018,r
0.0012584138,0.0204858063,0.0077485878,0.0390662220,0.1559139785,r
0.0068235643,0.0245707519,0.0069454223,0.0222841226,0.0666395774,r
0.0079940565,0.0112927192,0.0038901680,0.0113062305,0.0563821457,¬r
0.0017416769,0.0215782984,0.0072339609,0.0246140076,0.0559055118,¬r
0.0059738643,0.0074673304,0.0080977275,0.0370923575,0.0820105820,¬r
0.0039077213,0.0069052103,0.0078768783,0.0319922443,0.0860591900,¬r
0.0087887740,0.0106351551,0.0068193700,0.0228728271,0.0697061040,¬r
0.0060183767,0.0101071975,0.0075536338,0.0195576251,0.0559845560,¬r
0.0036681716,0.0050790068,0.0014731228,0.0079672206,0.0242700038,r
0.0126088262,0.0096067247,0.0079113924,0.0272638754,0.0844327177,¬r
0.0076008123,0.0156657963,0.0077981337,0.0232949087,0.0680948738,¬r
0.0103216740,0.0159275453,0.0080731394,0.0424151697,0.1223076923,¬r
0.0086768220,0.0089605735,0.0076257782,0.0303886926,0.0838485317,r
0.0000000000,0.0306864916,0.0078287777,0.0308062575,0.0847457627,r
0.0001822600,0.0306804374,0.0076829598,0.0526937618,0.1011363636,r
0.0085998793,0.0105612553,0.0081437899,0.0406830738,0.0748764728,¬r
0.0064345992,0.0093429777,0.0078197664,0.0245960936,0.0653266332,¬r
0.0094602523,0.0105602816,0.0077256241,0.0419028839,0.0732943470,¬r
0.0006186205,0.0204144757,0.0081426406,0.0275391612,0.0626441199,¬r
0.0091134442,0.0093321668,0.0078727084,0.0295399516,0.0675471698,¬r
0.0083745275,0.0151206746,0.0060881736,0.0156286447,0.0416362308,r
0.0063071029,0.0070733864,0.0072302636,0.0345080764,0.0961685824,¬r
0.0000447361,0.0265433940,0.0076275450,0.0286452219,0.1091192518,r
0.0075044669,0.0125074449,0.0077019517,0.0310721063,0.0703305150,¬r
0.0060791706,0.0329877474,0.0078307645,0.0294472604,0.0481324605,r
0.0103679907,0.0221962617,0.0044404626,0.0264538198,0.0729760547,r
0.0102012809,0.0213479719,0.0079706308,0.0422535211,0.0737240076,¬r
0.0180735604,0.0117576123,0.0076852885,0.0298083747,0.0997325182,¬r
0.0058733558,0.0052003671,0.0060422444,0.0182123173,0.0661567878,¬r
0.0062832643,0.0062093436,0.0075918940,0.0231362468,0.0644677661,r
0.0000000000,0.0214631197,0.0075843914,0.0359225566,0.1629515757,r
0.0060144709,0.0081398854,0.0081011756,0.0241895262,0.0658705701,¬r
0.0067986994,0.0088678688,0.0081153421,0.0307269548,0.0638617581,r
0.0098335855,0.0114977307,0.0075739921,0.0293637847,0.1054263566,¬r
0.0029929034,0.0077136686,0.0076694959,0.0193271296,0.0763209393,¬r
0.0050398724,0.0041467305,0.0071428571,0.0195518453,0.0802715655,¬r
0.0033004318,0.0219000617,0.0080321571,0.0219123506,0.0530274539,¬r
0.0137361071,0.0102593331,0.0069012965,0.0261130137,0.0560292326,¬r
0.0116702686,0.0169805496,0.0078869411,0.0373261771,0.1013615734,¬r
0.0065909091,0.0124242424,0.0075583328,0.0281526291,0.0725838264,¬r
