@RELATION fundus

@ATTRIBUTE GREEN_AVG1 REAL
@ATTRIBUTE GREEN_MAX1 REAL
@ATTRIBUTE class {r,¬r}

@DATA
0.0080991559,0.0334081276,r
0.0079233160,0.0197995600,¬r
0.0067913351,0.0172370722,¬r
0.0077231082,0.0446555819,¬r
0.0065898723,0.0241212957,r
0.0077485878,0.0390662220,r
0.0069454223,0.0222841226,r
0.0038901680,0.0113062305,¬r
0.0072339609,0.0246140076,¬r
0.0080977275,0.0370923575,¬r
0.0078768783,0.0319922443,¬r
0.0068193700,0.0228728271,¬r
0.0075536338,0.0195576251,¬r
0.0014731228,0.0079672206,r
0.0079113924,0.0272638754,¬r
0.0077981337,0.0232949087,¬r
0.0080731394,0.0424151697,¬r
0.0076257782,0.0303886926,r
0.0078287777,0.0308062575,r
0.0076829598,0.0526937618,r
0.0081437899,0.0406830738,¬r
0.0078197664,0.0245960936,¬r
0.0077256241,0.0419028839,¬r
0.0081426406,0.0275391612,¬r
0.0078727084,0.0295399516,¬r
0.0060881736,0.0156286447,r
0.0072302636,0.0345080764,¬r
0.0076275450,0.0286452219,r
0.0077019517,0.0310721063,¬r
0.0078307645,0.0294472604,r
0.0044404626,0.0264538198,r
0.0079706308,0.0422535211,¬r
0.0076852885,0.0298083747,¬r
0.0060422444,0.0182123173,¬r
0.0075918940,0.0231362468,r
0.0075843914,0.0359225566,r
0.0081011756,0.0241895262,¬r
0.0081153421,0.0307269548,r
0.0075739921,0.0293637847,¬r
0.0076694959,0.0193271296,¬r
0.0071428571,0.0195518453,¬r
0.0080321571,0.0219123506,¬r
0.0069012965,0.0261130137,¬r
0.0078869411,0.0373261771,¬r
0.0075583328,0.0281526291,¬r
