@RELATION fundus

@ATTRIBUTE RED_AVG1 REAL
@ATTRIBUTE GREEN_AVG1 REAL
@ATTRIBUTE GREEN_MAX1 REAL
@ATTRIBUTE class {r,¬r}

@DATA
0.0031928480,0.0080991559,0.0334081276,r
0.0118200409,0.0079233160,0.0197995600,¬r
0.0027545651,0.0067913351,0.0172370722,¬r
0.0067200316,0.0077231082,0.0446555819,¬r
0.0048239403,0.0065898723,0.0241212957,r
0.0118720125,0.0077485878,0.0390662220,r
0.0134695086,0.0069454223,0.0222841226,r
0.0058841010,0.0038901680,0.0113062305,¬r
0.0145499384,0.0072339609,0.0246140076,¬r
0.0034536403,0.0080977275,0.0370923575,¬r
0.0039861896,0.0078768783,0.0319922443,¬r
0.0031511571,0.0068193700,0.0228728271,¬r
0.0033792751,0.0075536338,0.0195576251,¬r
0.0013638074,0.0014731228,0.0079672206,r
0.0037826479,0.0079113924,0.0272638754,¬r
0.0073397157,0.0077981337,0.0232949087,¬r
0.0101915470,0.0080731394,0.0424151697,¬r
0.0029569893,0.0076257782,0.0303886926,r
0.0120953285,0.0078287777,0.0308062575,r
0.0156541110,0.0076829598,0.0526937618,r
0.0046670690,0.0081437899,0.0406830738,¬r
0.0038778381,0.0078197664,0.0245960936,¬r
0.0026596265,0.0077256241,0.0419028839,¬r
0.0122383751,0.0081426406,0.0275391612,¬r
0.0056479051,0.0078727084,0.0295399516,¬r
0.0109140254,0.0060881736,0.0156286447,r
0.0036840554,0.0072302636,0.0345080764,¬r
0.0133412864,0.0076275450,0.0286452219,r
0.0053107008,0.0077019517,0.0310721063,¬r
0.0163158446,0.0078307645,0.0294472604,r
0.0103095794,0.0044404626,0.0264538198,r
0.0119040358,0.0079706308,0.0422535211,¬r
0.0055371320,0.0076852885,0.0298083747,¬r
0.0018558173,0.0060422444,0.0182123173,¬r
0.0034792036,0.0075918940,0.0231362468,r
0.0079705764,0.0075843914,0.0359225566,r
0.0030248216,0.0081011756,0.0241895262,¬r
0.0040003941,0.0081153421,0.0307269548,r
0.0057589511,0.0075739921,0.0293637847,¬r
0.0023552401,0.0076694959,0.0193271296,¬r
0.0015417331,0.0071428571,0.0195518453,¬r
0.0111762287,0.0080321571,0.0219123506,¬r
0.0057756246,0.0069012965,0.0261130137,¬r
0.0089533807,0.0078869411,0.0373261771,¬r
0.0030707071,0.0075583328,0.0281526291,¬r
