@RELATION fundus

@ATTRIBUTE RED_AVG1 REAL
@ATTRIBUTE RED_MAX2 REAL
@ATTRIBUTE GREEN_MAX1 REAL
@ATTRIBUTE class {r,¬r}

@DATA
0.0031928480,0.0223990569,0.0334081276,r
0.0118200409,0.0205521472,0.0197995600,¬r
0.0027545651,0.0092850511,0.0172370722,¬r
0.0067200316,0.0254965906,0.0446555819,¬r
0.0048239403,0.0150099122,0.0241212957,r
0.0118720125,0.0038045069,0.0390662220,r
0.0134695086,0.0216104204,0.0222841226,r
0.0058841010,0.0124814264,0.0113062305,¬r
0.0145499384,0.0061652281,0.0246140076,¬r
0.0034536403,0.0102675793,0.0370923575,¬r
0.0039861896,0.0075329567,0.0319922443,¬r
0.0031511571,0.0147710487,0.0228728271,¬r
0.0033792751,0.0147013783,0.0195576251,¬r
0.0013638074,0.0101580135,0.0079672206,r
0.0037826479,0.0279195437,0.0272638754,¬r
0.0073397157,0.0124746156,0.0232949087,¬r
0.0101915470,0.0165521549,0.0424151697,¬r
0.0029569893,0.0173237754,0.0303886926,r
0.0120953285,0.0000000000,0.0308062575,r
0.0156541110,0.0015188335,0.0526937618,r
0.0046670690,0.0175015088,0.0406830738,¬r
0.0038778381,0.0126582278,0.0245960936,¬r
0.0026596265,0.0193605163,0.0419028839,¬r
0.0122383751,0.0024744819,0.0275391612,¬r
0.0056479051,0.0201224847,0.0295399516,¬r
0.0109140254,0.0194824077,0.0156286447,r
0.0036840554,0.0117889773,0.0345080764,¬r
0.0133412864,0.0005964808,0.0286452219,r
0.0053107008,0.0139964264,0.0310721063,¬r
0.0163158446,0.0226201697,0.0294472604,r
0.0103095794,0.0204439252,0.0264538198,r
0.0119040358,0.0289722476,0.0422535211,¬r
0.0055371320,0.0367802231,0.0298083747,¬r
0.0018558173,0.0094830223,0.0182123173,¬r
0.0034792036,0.0156712005,0.0231362468,r
0.0079705764,0.0000000000,0.0359225566,r
0.0030248216,0.0153753392,0.0241895262,¬r
0.0040003941,0.0124150163,0.0307269548,r
0.0057589511,0.0172465961,0.0293637847,¬r
0.0023552401,0.0064794816,0.0193271296,¬r
0.0015417331,0.0121212121,0.0195518453,¬r
0.0111762287,0.0092535472,0.0219123506,¬r
0.0057756246,0.0233684810,0.0261130137,¬r
0.0089533807,0.0200679222,0.0373261771,¬r
0.0030707071,0.0148484848,0.0281526291,¬r
