@RELATION fundus

@ATTRIBUTE RED_AVG1 REAL
@ATTRIBUTE RED_MAX1 REAL
@ATTRIBUTE class {r,¬r}

@DATA
0.0031928480,0.0061892131,r
0.0118200409,0.0285276074,¬r
0.0027545651,0.0105230579,¬r
0.0067200316,0.0154165431,¬r
0.0048239403,0.0090625885,r
0.0118720125,0.0204858063,r
0.0134695086,0.0245707519,r
0.0058841010,0.0112927192,¬r
0.0145499384,0.0215782984,¬r
0.0034536403,0.0074673304,¬r
0.0039861896,0.0069052103,¬r
0.0031511571,0.0106351551,¬r
0.0033792751,0.0101071975,¬r
0.0013638074,0.0050790068,r
0.0037826479,0.0096067247,¬r
0.0073397157,0.0156657963,¬r
0.0101915470,0.0159275453,¬r
0.0029569893,0.0089605735,r
0.0120953285,0.0306864916,r
0.0156541110,0.0306804374,r
0.0046670690,0.0105612553,¬r
0.0038778381,0.0093429777,¬r
0.0026596265,0.0105602816,¬r
0.0122383751,0.0204144757,¬r
0.0056479051,0.0093321668,¬r
0.0109140254,0.0151206746,r
0.0036840554,0.0070733864,¬r
0.0133412864,0.0265433940,r
0.0053107008,0.0125074449,¬r
0.0163158446,0.0329877474,r
0.0103095794,0.0221962617,r
0.0119040358,0.0213479719,¬r
0.0055371320,0.0117576123,¬r
0.0018558173,0.0052003671,¬r
0.0034792036,0.0062093436,r
0.0079705764,0.0214631197,r
0.0030248216,0.0081398854,¬r
0.0040003941,0.0088678688,r
0.0057589511,0.0114977307,¬r
0.0023552401,0.0077136686,¬r
0.0015417331,0.0041467305,¬r
0.0111762287,0.0219000617,¬r
0.0057756246,0.0102593331,¬r
0.0089533807,0.0169805496,¬r
0.0030707071,0.0124242424,¬r
