@RELATION fundus

@ATTRIBUTE RED_AVG1 REAL
@ATTRIBUTE RED_AVG2 REAL
@ATTRIBUTE GREEN_MAX1 REAL
@ATTRIBUTE BLUE_AVG1 REAL
@ATTRIBUTE class {r,¬r}

@DATA
0.0031928480,0.0119805482,0.0334081276,0.0248238186,r
0.0118200409,0.0059509203,0.0197995600,0.0248071346,¬r
0.0027545651,0.0038378211,0.0172370722,0.0240613027,¬r
0.0067200316,0.0157130151,0.0446555819,0.0246305419,¬r
0.0048239403,0.0093599547,0.0241212957,0.0249109540,r
0.0118720125,0.0012584138,0.0390662220,0.0249286812,r
0.0134695086,0.0068235643,0.0222841226,0.0249492076,r
0.0058841010,0.0079940565,0.0113062305,0.0223738673,¬r
0.0145499384,0.0017416769,0.0246140076,0.0255793026,¬r
0.0034536403,0.0059738643,0.0370923575,0.0245545837,¬r
0.0039861896,0.0039077213,0.0319922443,0.0252892746,¬r
0.0031511571,0.0087887740,0.0228728271,0.0235224459,¬r
0.0033792751,0.0060183767,0.0195576251,0.0230005516,¬r
0.0013638074,0.0036681716,0.0079672206,0.0076168807,r
0.0037826479,0.0126088262,0.0272638754,0.0245005654,¬r
0.0073397157,0.0076008123,0.0232949087,0.0248223850,¬r
0.0101915470,0.0103216740,0.0424151697,0.0248351648,¬r
0.0029569893,0.0086768220,0.0303886926,0.0250165599,r
0.0120953285,0.0000000000,0.0308062575,0.0239498895,r
0.0156541110,0.0001822600,0.0526937618,0.0205086580,r
0.0046670690,0.0085998793,0.0406830738,0.0246294185,¬r
0.0038778381,0.0064345992,0.0245960936,0.0250593627,¬r
0.0026596265,0.0094602523,0.0419028839,0.0251963241,¬r
0.0122383751,0.0006186205,0.0275391612,0.0247501922,¬r
0.0056479051,0.0091134442,0.0295399516,0.0245067385,¬r
0.0109140254,0.0083745275,0.0156286447,0.0186893457,r
0.0036840554,0.0063071029,0.0345080764,0.0248275862,¬r
0.0133412864,0.0000447361,0.0286452219,0.0252978510,r
0.0053107008,0.0075044669,0.0310721063,0.0249807840,¬r
0.0163158446,0.0060791706,0.0294472604,0.0249738710,r
0.0103095794,0.0103679907,0.0264538198,0.0159417929,r
0.0119040358,0.0102012809,0.0422535211,0.0245098569,¬r
0.0055371320,0.0180735604,0.0298083747,0.0246629183,¬r
0.0018558173,0.0058733558,0.0182123173,0.0248347446,¬r
0.0034792036,0.0062832643,0.0231362468,0.0243521097,r
0.0079705764,0.0000000000,0.0359225566,0.0245196003,r
0.0030248216,0.0060144709,0.0241895262,0.0249724851,¬r
0.0040003941,0.0067986994,0.0307269548,0.0243962649,r
0.0057589511,0.0098335855,0.0293637847,0.0251827243,¬r
0.0023552401,0.0029929034,0.0193271296,0.0253844003,¬r
0.0015417331,0.0050398724,0.0195518453,0.0259470561,¬r
0.0111762287,0.0033004318,0.0219123506,0.0241873959,¬r
0.0057756246,0.0137361071,0.0261130137,0.0262745780,¬r
0.0089533807,0.0116702686,0.0373261771,0.0244002593,¬r
0.0030707071,0.0065909091,0.0281526291,0.0256184841,¬r
