@RELATION fundus

@ATTRIBUTE RED_AVG1 REAL
@ATTRIBUTE RED_AVG2 REAL
@ATTRIBUTE RED_MAX1 REAL
@ATTRIBUTE GREEN_MAX1 REAL
@ATTRIBUTE class {r,¬r}

@DATA
0.0031928480,0.0119805482,0.0061892131,0.0334081276,r
0.0118200409,0.0059509203,0.0285276074,0.0197995600,¬r
0.0027545651,0.0038378211,0.0105230579,0.0172370722,¬r
0.0067200316,0.0157130151,0.0154165431,0.0446555819,¬r
0.0048239403,0.0093599547,0.0090625885,0.0241212957,r
0.0118720125,0.0012584138,0.0204858063,0.0390662220,r
0.0134695086,0.0068235643,0.0245707519,0.0222841226,r
0.0058841010,0.0079940565,0.0112927192,0.0113062305,¬r
0.0145499384,0.0017416769,0.0215782984,0.0246140076,¬r
0.0034536403,0.0059738643,0.0074673304,0.0370923575,¬r
0.0039861896,0.0039077213,0.0069052103,0.0319922443,¬r
0.0031511571,0.0087887740,0.0106351551,0.0228728271,¬r
0.0033792751,0.0060183767,0.0101071975,0.0195576251,¬r
0.0013638074,0.0036681716,0.0050790068,0.0079672206,r
0.0037826479,0.0126088262,0.0096067247,0.0272638754,¬r
0.0073397157,0.0076008123,0.0156657963,0.0232949087,¬r
0.0101915470,0.0103216740,0.0159275453,0.0424151697,¬r
0.0029569893,0.0086768220,0.0089605735,0.0303886926,r
0.0120953285,0.0000000000,0.0306864916,0.0308062575,r
0.0156541110,0.0001822600,0.0306804374,0.0526937618,r
0.0046670690,0.0085998793,0.0105612553,0.0406830738,¬r
0.0038778381,0.0064345992,0.0093429777,0.0245960936,¬r
0.0026596265,0.0094602523,0.0105602816,0.0419028839,¬r
0.0122383751,0.0006186205,0.0204144757,0.0275391612,¬r
0.0056479051,0.0091134442,0.0093321668,0.0295399516,¬r
0.0109140254,0.0083745275,0.0151206746,0.0156286447,r
0.0036840554,0.0063071029,0.0070733864,0.0345080764,¬r
0.0133412864,0.0000447361,0.0265433940,0.0286452219,r
0.0053107008,0.0075044669,0.0125074449,0.0310721063,¬r
0.0163158446,0.0060791706,0.0329877474,0.0294472604,r
0.0103095794,0.0103679907,0.0221962617,0.0264538198,r
0.0119040358,0.0102012809,0.0213479719,0.0422535211,¬r
0.0055371320,0.0180735604,0.0117576123,0.0298083747,¬r
0.0018558173,0.0058733558,0.0052003671,0.0182123173,¬r
0.0034792036,0.0062832643,0.0062093436,0.0231362468,r
0.0079705764,0.0000000000,0.0214631197,0.0359225566,r
0.0030248216,0.0060144709,0.0081398854,0.0241895262,¬r
0.0040003941,0.0067986994,0.0088678688,0.0307269548,r
0.0057589511,0.0098335855,0.0114977307,0.0293637847,¬r
0.0023552401,0.0029929034,0.0077136686,0.0193271296,¬r
0.0015417331,0.0050398724,0.0041467305,0.0195518453,¬r
0.0111762287,0.0033004318,0.0219000617,0.0219123506,¬r
0.0057756246,0.0137361071,0.0102593331,0.0261130137,¬r
0.0089533807,0.0116702686,0.0169805496,0.0373261771,¬r
0.0030707071,0.0065909091,0.0124242424,0.0281526291,¬r
