@RELATION fundus

@ATTRIBUTE RED_MAX1 REAL
@ATTRIBUTE BLUE_AVG1 REAL
@ATTRIBUTE class {r,¬r}

@DATA
0.0061892131,0.0248238186,r
0.0285276074,0.0248071346,¬r
0.0105230579,0.0240613027,¬r
0.0154165431,0.0246305419,¬r
0.0090625885,0.0249109540,r
0.0204858063,0.0249286812,r
0.0245707519,0.0249492076,r
0.0112927192,0.0223738673,¬r
0.0215782984,0.0255793026,¬r
0.0074673304,0.0245545837,¬r
0.0069052103,0.0252892746,¬r
0.0106351551,0.0235224459,¬r
0.0101071975,0.0230005516,¬r
0.0050790068,0.0076168807,r
0.0096067247,0.0245005654,¬r
0.0156657963,0.0248223850,¬r
0.0159275453,0.0248351648,¬r
0.0089605735,0.0250165599,r
0.0306864916,0.0239498895,r
0.0306804374,0.0205086580,r
0.0105612553,0.0246294185,¬r
0.0093429777,0.0250593627,¬r
0.0105602816,0.0251963241,¬r
0.0204144757,0.0247501922,¬r
0.0093321668,0.0245067385,¬r
0.0151206746,0.0186893457,r
0.0070733864,0.0248275862,¬r
0.0265433940,0.0252978510,r
0.0125074449,0.0249807840,¬r
0.0329877474,0.0249738710,r
0.0221962617,0.0159417929,r
0.0213479719,0.0245098569,¬r
0.0117576123,0.0246629183,¬r
0.0052003671,0.0248347446,¬r
0.0062093436,0.0243521097,r
0.0214631197,0.0245196003,r
0.0081398854,0.0249724851,¬r
0.0088678688,0.0243962649,r
0.0114977307,0.0251827243,¬r
0.0077136686,0.0253844003,¬r
0.0041467305,0.0259470561,¬r
0.0219000617,0.0241873959,¬r
0.0102593331,0.0262745780,¬r
0.0169805496,0.0244002593,¬r
0.0124242424,0.0256184841,¬r
