@RELATION fundus

@ATTRIBUTE GREEN_MAX1 REAL
@ATTRIBUTE class {r,¬r}

@DATA
0.0334081276,r
0.0197995600,¬r
0.0172370722,¬r
0.0446555819,¬r
0.0241212957,r
0.0390662220,r
0.0222841226,r
0.0113062305,¬r
0.0246140076,¬r
0.0370923575,¬r
0.0319922443,¬r
0.0228728271,¬r
0.0195576251,¬r
0.0079672206,r
0.0272638754,¬r
0.0232949087,¬r
0.0424151697,¬r
0.0303886926,r
0.0308062575,r
0.0526937618,r
0.0406830738,¬r
0.0245960936,¬r
0.0419028839,¬r
0.0275391612,¬r
0.0295399516,¬r
0.0156286447,r
0.0345080764,¬r
0.0286452219,r
0.0310721063,¬r
0.0294472604,r
0.0264538198,r
0.0422535211,¬r
0.0298083747,¬r
0.0182123173,¬r
0.0231362468,r
0.0359225566,r
0.0241895262,¬r
0.0307269548,r
0.0293637847,¬r
0.0193271296,¬r
0.0195518453,¬r
0.0219123506,¬r
0.0261130137,¬r
0.0373261771,¬r
0.0281526291,¬r
