@RELATION fundus

@ATTRIBUTE RED_MAX1 REAL
@ATTRIBUTE GREEN_AVG1 REAL
@ATTRIBUTE class {r,¬r}

@DATA
0.0061892131,0.0080991559,r
0.0285276074,0.0079233160,¬r
0.0105230579,0.0067913351,¬r
0.0154165431,0.0077231082,¬r
0.0090625885,0.0065898723,r
0.0204858063,0.0077485878,r
0.0245707519,0.0069454223,r
0.0112927192,0.0038901680,¬r
0.0215782984,0.0072339609,¬r
0.0074673304,0.0080977275,¬r
0.0069052103,0.0078768783,¬r
0.0106351551,0.0068193700,¬r
0.0101071975,0.0075536338,¬r
0.0050790068,0.0014731228,r
0.0096067247,0.0079113924,¬r
0.0156657963,0.0077981337,¬r
0.0159275453,0.0080731394,¬r
0.0089605735,0.0076257782,r
0.0306864916,0.0078287777,r
0.0306804374,0.0076829598,r
0.0105612553,0.0081437899,¬r
0.0093429777,0.0078197664,¬r
0.0105602816,0.0077256241,¬r
0.0204144757,0.0081426406,¬r
0.0093321668,0.0078727084,¬r
0.0151206746,0.0060881736,r
0.0070733864,0.0072302636,¬r
0.0265433940,0.0076275450,r
0.0125074449,0.0077019517,¬r
0.0329877474,0.0078307645,r
0.0221962617,0.0044404626,r
0.0213479719,0.0079706308,¬r
0.0117576123,0.0076852885,¬r
0.0052003671,0.0060422444,¬r
0.0062093436,0.0075918940,r
0.0214631197,0.0075843914,r
0.0081398854,0.0081011756,¬r
0.0088678688,0.0081153421,r
0.0114977307,0.0075739921,¬r
0.0077136686,0.0076694959,¬r
0.0041467305,0.0071428571,¬r
0.0219000617,0.0080321571,¬r
0.0102593331,0.0069012965,¬r
0.0169805496,0.0078869411,¬r
0.0124242424,0.0075583328,¬r
