@RELATION fundus

@ATTRIBUTE RED_MAX1 REAL
@ATTRIBUTE RED_MAX2 REAL
@ATTRIBUTE class {r,¬r}

@DATA
0.0061892131,0.0223990569,r
0.0285276074,0.0205521472,¬r
0.0105230579,0.0092850511,¬r
0.0154165431,0.0254965906,¬r
0.0090625885,0.0150099122,r
0.0204858063,0.0038045069,r
0.0245707519,0.0216104204,r
0.0112927192,0.0124814264,¬r
0.0215782984,0.0061652281,¬r
0.0074673304,0.0102675793,¬r
0.0069052103,0.0075329567,¬r
0.0106351551,0.0147710487,¬r
0.0101071975,0.0147013783,¬r
0.0050790068,0.0101580135,r
0.0096067247,0.0279195437,¬r
0.0156657963,0.0124746156,¬r
0.0159275453,0.0165521549,¬r
0.0089605735,0.0173237754,r
0.0306864916,0.0000000000,r
0.0306804374,0.0015188335,r
0.0105612553,0.0175015088,¬r
0.0093429777,0.0126582278,¬r
0.0105602816,0.0193605163,¬r
0.0204144757,0.0024744819,¬r
0.0093321668,0.0201224847,¬r
0.0151206746,0.0194824077,r
0.0070733864,0.0117889773,¬r
0.0265433940,0.0005964808,r
0.0125074449,0.0139964264,¬r
0.0329877474,0.0226201697,r
0.0221962617,0.0204439252,r
0.0213479719,0.0289722476,¬r
0.0117576123,0.0367802231,¬r
0.0052003671,0.0094830223,¬r
0.0062093436,0.0156712005,r
0.0214631197,0.0000000000,r
0.0081398854,0.0153753392,¬r
0.0088678688,0.0124150163,r
0.0114977307,0.0172465961,¬r
0.0077136686,0.0064794816,¬r
0.0041467305,0.0121212121,¬r
0.0219000617,0.0092535472,¬r
0.0102593331,0.0233684810,¬r
0.0169805496,0.0200679222,¬r
0.0124242424,0.0148484848,¬r
