@RELATION fundus

@ATTRIBUTE GREEN_MAX1 REAL
@ATTRIBUTE BLUE_AVG1 REAL
@ATTRIBUTE BLUE_MAX1 REAL
@ATTRIBUTE class {r,¬r}

@DATA
0.0334081276,0.0248238186,0.0642447419,r
0.0197995600,0.0248071346,0.0643431635,¬r
0.0172370722,0.0240613027,0.0593869732,¬r
0.0446555819,0.0246305419,0.1125426298,¬r
0.0241212957,0.0249109540,0.0751822018,r
0.0390662220,0.0249286812,0.1559139785,r
0.0222841226,0.0249492076,0.0666395774,r
0.0113062305,0.0223738673,0.0563821457,¬r
0.0246140076,0.0255793026,0.0559055118,¬r
0.0370923575,0.0245545837,0.0820105820,¬r
0.0319922443,0.0252892746,0.0860591900,¬r
0.0228728271,0.0235224459,0.0697061040,¬r
0.0195576251,0.0230005516,0.0559845560,¬r
0.0079672206,0.0076168807,0.0242700038,r
0.0272638754,0.0245005654,0.0844327177,¬r
0.0232949087,0.0248223850,0.0680948738,¬r
0.0424151697,0.0248351648,0.1223076923,¬r
0.0303886926,0.0250165599,0.0838485317,r
0.0308062575,0.0239498895,0.0847457627,r
0.0526937618,0.0205086580,0.1011363636,r
0.0406830738,0.0246294185,0.0748764728,¬r
0.0245960936,0.0250593627,0.0653266332,¬r
0.0419028839,0.0251963241,0.0732943470,¬r
0.0275391612,0.0247501922,0.0626441199,¬r
0.0295399516,0.0245067385,0.0675471698,¬r
0.0156286447,0.0186893457,0.0416362308,r
0.0345080764,0.0248275862,0.0961685824,¬r
0.0286452219,0.0252978510,0.1091192518,r
0.0310721063,0.0249807840,0.0703305150,¬r
0.0294472604,0.0249738710,0.0481324605,r
0.0264538198,0.0159417929,0.0729760547,r
0.0422535211,0.0245098569,0.0737240076,¬r
0.0298083747,0.0246629183,0.0997325182,¬r
0.0182123173,0.0248347446,0.0661567878,¬r
0.0231362468,0.0243521097,0.0644677661,r
0.0359225566,0.0245196003,0.1629515757,r
0.0241895262,0.0249724851,0.0658705701,¬r
0.0307269548,0.0243962649,0.0638617581,r
0.0293637847,0.0251827243,0.1054263566,¬r
0.0193271296,0.0253844003,0.0763209393,¬r
0.0195518453,0.0259470561,0.0802715655,¬r
0.0219123506,0.0241873959,0.0530274539,¬r
0.0261130137,0.0262745780,0.0560292326,¬r
0.0373261771,0.0244002593,0.1013615734,¬r
0.0281526291,0.0256184841,0.0725838264,¬r
