@RELATION fundus

@ATTRIBUTE GREEN_AVG1 REAL
@ATTRIBUTE class {r,¬r}

@DATA
0.0080991559,r
0.0079233160,¬r
0.0067913351,¬r
0.0077231082,¬r
0.0065898723,r
0.0077485878,r
0.0069454223,r
0.0038901680,¬r
0.0072339609,¬r
0.0080977275,¬r
0.0078768783,¬r
0.0068193700,¬r
0.0075536338,¬r
0.0014731228,r
0.0079113924,¬r
0.0077981337,¬r
0.0080731394,¬r
0.0076257782,r
0.0078287777,r
0.0076829598,r
0.0081437899,¬r
0.0078197664,¬r
0.0077256241,¬r
0.0081426406,¬r
0.0078727084,¬r
0.0060881736,r
0.0072302636,¬r
0.0076275450,r
0.0077019517,¬r
0.0078307645,r
0.0044404626,r
0.0079706308,¬r
0.0076852885,¬r
0.0060422444,¬r
0.0075918940,r
0.0075843914,r
0.0081011756,¬r
0.0081153421,r
0.0075739921,¬r
0.0076694959,¬r
0.0071428571,¬r
0.0080321571,¬r
0.0069012965,¬r
0.0078869411,¬r
0.0075583328,¬r
