@RELATION fundus

@ATTRIBUTE GREEN_AVG1 REAL
@ATTRIBUTE BLUE_MAX1 REAL
@ATTRIBUTE class {r,¬r}

@DATA
0.0080991559,0.0642447419,r
0.0079233160,0.0643431635,¬r
0.0067913351,0.0593869732,¬r
0.0077231082,0.1125426298,¬r
0.0065898723,0.0751822018,r
0.0077485878,0.1559139785,r
0.0069454223,0.0666395774,r
0.0038901680,0.0563821457,¬r
0.0072339609,0.0559055118,¬r
0.0080977275,0.0820105820,¬r
0.0078768783,0.0860591900,¬r
0.0068193700,0.0697061040,¬r
0.0075536338,0.0559845560,¬r
0.0014731228,0.0242700038,r
0.0079113924,0.0844327177,¬r
0.0077981337,0.0680948738,¬r
0.0080731394,0.1223076923,¬r
0.0076257782,0.0838485317,r
0.0078287777,0.0847457627,r
0.0076829598,0.1011363636,r
0.0081437899,0.0748764728,¬r
0.0078197664,0.0653266332,¬r
0.0077256241,0.0732943470,¬r
0.0081426406,0.0626441199,¬r
0.0078727084,0.0675471698,¬r
0.0060881736,0.0416362308,r
0.0072302636,0.0961685824,¬r
0.0076275450,0.1091192518,r
0.0077019517,0.0703305150,¬r
0.0078307645,0.0481324605,r
0.0044404626,0.0729760547,r
0.0079706308,0.0737240076,¬r
0.0076852885,0.0997325182,¬r
0.0060422444,0.0661567878,¬r
0.0075918940,0.0644677661,r
0.0075843914,0.1629515757,r
0.0081011756,0.0658705701,¬r
0.0081153421,0.0638617581,r
0.0075739921,0.1054263566,¬r
0.0076694959,0.0763209393,¬r
0.0071428571,0.0802715655,¬r
0.0080321571,0.0530274539,¬r
0.0069012965,0.0560292326,¬r
0.0078869411,0.1013615734,¬r
0.0075583328,0.0725838264,¬r
