@RELATION fundus

@ATTRIBUTE RED_AVG2 REAL
@ATTRIBUTE RED_MAX1 REAL
@ATTRIBUTE RED_MAX2 REAL
@ATTRIBUTE GREEN_MAX1 REAL
@ATTRIBUTE BLUE_AVG1 REAL
@ATTRIBUTE BLUE_MAX1 REAL
@ATTRIBUTE class {g,h,r}

@DATA
0.0119805482,0.0061892131,0.0223990569,0.0334081276,0.0248238186,0.0642447419,r
0.0059509203,0.0285276074,0.0205521472,0.0197995600,0.0248071346,0.0643431635,g
0.0038378211,0.0105230579,0.0092850511,0.0172370722,0.0240613027,0.0593869732,h
0.0157130151,0.0154165431,0.0254965906,0.0446555819,0.0246305419,0.1125426298,g
0.0093599547,0.0090625885,0.0150099122,0.0241212957,0.0249109540,0.0751822018,r
0.0012584138,0.0204858063,0.0038045069,0.0390662220,0.0249286812,0.1559139785,r
0.0068235643,0.0245707519,0.0216104204,0.0222841226,0.0249492076,0.0666395774,r
0.0079940565,0.0112927192,0.0124814264,0.0113062305,0.0223738673,0.0563821457,h
0.0017416769,0.0215782984,0.0061652281,0.0246140076,0.0255793026,0.0559055118,h
0.0059738643,0.0074673304,0.0102675793,0.0370923575,0.0245545837,0.0820105820,g
0.0039077213,0.0069052103,0.0075329567,0.0319922443,0.0252892746,0.0860591900,g
0.0087887740,0.0106351551,0.0147710487,0.0228728271,0.0235224459,0.0697061040,h
0.0060183767,0.0101071975,0.0147013783,0.0195576251,0.0230005516,0.0559845560,h
0.0036681716,0.0050790068,0.0101580135,0.0079672206,0.0076168807,0.0242700038,r
0.0126088262,0.0096067247,0.0279195437,0.0272638754,0.0245005654,0.0844327177,g
0.0076008123,0.0156657963,0.0124746156,0.0232949087,0.0248223850,0.0680948738,g
0.0103216740,0.0159275453,0.0165521549,0.0424151697,0.0248351648,0.1223076923,g
0.0086768220,0.0089605735,0.0173237754,0.0303886926,0.0250165599,0.0838485317,r
0.0000000000,0.0306864916,0.0000000000,0.0308062575,0.0239498895,0.0847457627,r
0.0001822600,0.0306804374,0.0015188335,0.0526937618,0.0205086580,0.1011363636,r
0.0085998793,0.0105612553,0.0175015088,0.0406830738,0.0246294185,0.0748764728,h
0.0064345992,0.0093429777,0.0126582278,0.0245960936,0.0250593627,0.0653266332,h
0.0094602523,0.0105602816,0.0193605163,0.0419028839,0.0251963241,0.0732943470,h
0.0006186205,0.0204144757,0.0024744819,0.0275391612,0.0247501922,0.0626441199,h
0.0091134442,0.0093321668,0.0201224847,0.0295399516,0.0245067385,0.0675471698,g
0.0083745275,0.0151206746,0.0194824077,0.0156286447,0.0186893457,0.0416362308,r
0.0063071029,0.0070733864,0.0117889773,0.0345080764,0.0248275862,0.0961685824,g
0.0000447361,0.0265433940,0.0005964808,0.0286452219,0.0252978510,0.1091192518,r
0.0075044669,0.0125074449,0.0139964264,0.0310721063,0.0249807840,0.0703305150,h
0.0060791706,0.0329877474,0.0226201697,0.0294472604,0.0249738710,0.0481324605,r
0.0103679907,0.0221962617,0.0204439252,0.0264538198,0.0159417929,0.0729760547,r
0.0102012809,0.0213479719,0.0289722476,0.0422535211,0.0245098569,0.0737240076,h
0.0180735604,0.0117576123,0.0367802231,0.0298083747,0.0246629183,0.0997325182,g
0.0058733558,0.0052003671,0.0094830223,0.0182123173,0.0248347446,0.0661567878,g
0.0062832643,0.0062093436,0.0156712005,0.0231362468,0.0243521097,0.0644677661,r
0.0000000000,0.0214631197,0.0000000000,0.0359225566,0.0245196003,0.1629515757,r
0.0060144709,0.0081398854,0.0153753392,0.0241895262,0.0249724851,0.0658705701,h
0.0067986994,0.0088678688,0.0124150163,0.0307269548,0.0243962649,0.0638617581,r
0.0098335855,0.0114977307,0.0172465961,0.0293637847,0.0251827243,0.1054263566,g
0.0029929034,0.0077136686,0.0064794816,0.0193271296,0.0253844003,0.0763209393,g
0.0050398724,0.0041467305,0.0121212121,0.0195518453,0.0259470561,0.0802715655,g
0.0033004318,0.0219000617,0.0092535472,0.0219123506,0.0241873959,0.0530274539,h
0.0137361071,0.0102593331,0.0233684810,0.0261130137,0.0262745780,0.0560292326,h
0.0116702686,0.0169805496,0.0200679222,0.0373261771,0.0244002593,0.1013615734,g
0.0065909091,0.0124242424,0.0148484848,0.0281526291,0.0256184841,0.0725838264,h
