@RELATION fundus

@ATTRIBUTE RED_AVG1 REAL
@ATTRIBUTE class {g,h,r}

@DATA
0.0031928480,r
0.0118200409,g
0.0027545651,h
0.0067200316,g
0.0048239403,r
0.0118720125,r
0.0134695086,r
0.0058841010,h
0.0145499384,h
0.0034536403,g
0.0039861896,g
0.0031511571,h
0.0033792751,h
0.0013638074,r
0.0037826479,g
0.0073397157,g
0.0101915470,g
0.0029569893,r
0.0120953285,r
0.0156541110,r
0.0046670690,h
0.0038778381,h
0.0026596265,h
0.0122383751,h
0.0056479051,g
0.0109140254,r
0.0036840554,g
0.0133412864,r
0.0053107008,h
0.0163158446,r
0.0103095794,r
0.0119040358,h
0.0055371320,g
0.0018558173,g
0.0034792036,r
0.0079705764,r
0.0030248216,h
0.0040003941,r
0.0057589511,g
0.0023552401,g
0.0015417331,g
0.0111762287,h
0.0057756246,h
0.0089533807,g
0.0030707071,h
