@RELATION fundus

@ATTRIBUTE RED_MAX2 REAL
@ATTRIBUTE BLUE_MAX1 REAL
@ATTRIBUTE class {g,h,r}

@DATA
0.0223990569,0.0642447419,r
0.0205521472,0.0643431635,g
0.0092850511,0.0593869732,h
0.0254965906,0.1125426298,g
0.0150099122,0.0751822018,r
0.0038045069,0.1559139785,r
0.0216104204,0.0666395774,r
0.0124814264,0.0563821457,h
0.0061652281,0.0559055118,h
0.0102675793,0.0820105820,g
0.0075329567,0.0860591900,g
0.0147710487,0.0697061040,h
0.0147013783,0.0559845560,h
0.0101580135,0.0242700038,r
0.0279195437,0.0844327177,g
0.0124746156,0.0680948738,g
0.0165521549,0.1223076923,g
0.0173237754,0.0838485317,r
0.0000000000,0.0847457627,r
0.0015188335,0.1011363636,r
0.0175015088,0.0748764728,h
0.0126582278,0.0653266332,h
0.0193605163,0.0732943470,h
0.0024744819,0.0626441199,h
0.0201224847,0.0675471698,g
0.0194824077,0.0416362308,r
0.0117889773,0.0961685824,g
0.0005964808,0.1091192518,r
0.0139964264,0.0703305150,h
0.0226201697,0.0481324605,r
0.0204439252,0.0729760547,r
0.0289722476,0.0737240076,h
0.0367802231,0.0997325182,g
0.0094830223,0.0661567878,g
0.0156712005,0.0644677661,r
0.0000000000,0.1629515757,r
0.0153753392,0.0658705701,h
0.0124150163,0.0638617581,r
0.0172465961,0.1054263566,g
0.0064794816,0.0763209393,g
0.0121212121,0.0802715655,g
0.0092535472,0.0530274539,h
0.0233684810,0.0560292326,h
0.0200679222,0.1013615734,g
0.0148484848,0.0725838264,h
