@RELATION fundus

@ATTRIBUTE RED_AVG1 REAL
@ATTRIBUTE RED_MAX1 REAL
@ATTRIBUTE RED_MAX2 REAL
@ATTRIBUTE GREEN_AVG1 REAL
@ATTRIBUTE GREEN_MAX1 REAL
@ATTRIBUTE BLUE_MAX1 REAL
@ATTRIBUTE class {g,h,r}

@DATA
0.0031928480,0.0061892131,0.0223990569,0.0080991559,0.0334081276,0.0642447419,r
0.0118200409,0.0285276074,0.0205521472,0.0079233160,0.0197995600,0.0643431635,g
0.0027545651,0.0105230579,0.0092850511,0.0067913351,0.0172370722,0.0593869732,h
0.0067200316,0.0154165431,0.0254965906,0.0077231082,0.0446555819,0.1125426298,g
0.0048239403,0.0090625885,0.0150099122,0.0065898723,0.0241212957,0.0751822018,r
0.0118720125,0.0204858063,0.0038045069,0.0077485878,0.0390662220,0.1559139785,r
0.0134695086,0.0245707519,0.0216104204,0.0069454223,0.0222841226,0.0666395774,r
0.0058841010,0.0112927192,0.0124814264,0.0038901680,0.0113062305,0.0563821457,h
0.0145499384,0.0215782984,0.0061652281,0.0072339609,0.0246140076,0.0559055118,h
0.0034536403,0.0074673304,0.0102675793,0.0080977275,0.0370923575,0.0820105820,g
0.0039861896,0.0069052103,0.0075329567,0.0078768783,0.0319922443,0.0860591900,g
0.0031511571,0.0106351551,0.0147710487,0.0068193700,0.0228728271,0.0697061040,h
0.0033792751,0.0101071975,0.0147013783,0.0075536338,0.0195576251,0.0559845560,h
0.0013638074,0.0050790068,0.0101580135,0.0014731228,0.0079672206,0.0242700038,r
0.0037826479,0.0096067247,0.0279195437,0.0079113924,0.0272638754,0.0844327177,g
0.0073397157,0.0156657963,0.0124746156,0.0077981337,0.0232949087,0.0680948738,g
0.0101915470,0.0159275453,0.0165521549,0.0080731394,0.0424151697,0.1223076923,g
0.0029569893,0.0089605735,0.0173237754,0.0076257782,0.0303886926,0.0838485317,r
0.0120953285,0.0306864916,0.0000000000,0.0078287777,0.0308062575,0.0847457627,r
0.0156541110,0.0306804374,0.0015188335,0.0076829598,0.0526937618,0.1011363636,r
0.0046670690,0.0105612553,0.0175015088,0.0081437899,0.0406830738,0.0748764728,h
0.0038778381,0.0093429777,0.0126582278,0.0078197664,0.0245960936,0.0653266332,h
0.0026596265,0.0105602816,0.0193605163,0.0077256241,0.0419028839,0.0732943470,h
0.0122383751,0.0204144757,0.0024744819,0.0081426406,0.0275391612,0.0626441199,h
0.0056479051,0.0093321668,0.0201224847,0.0078727084,0.0295399516,0.0675471698,g
0.0109140254,0.0151206746,0.0194824077,0.0060881736,0.0156286447,0.0416362308,r
0.0036840554,0.0070733864,0.0117889773,0.0072302636,0.0345080764,0.0961685824,g
0.0133412864,0.0265433940,0.0005964808,0.0076275450,0.0286452219,0.1091192518,r
0.0053107008,0.0125074449,0.0139964264,0.0077019517,0.0310721063,0.0703305150,h
0.0163158446,0.0329877474,0.0226201697,0.0078307645,0.0294472604,0.0481324605,r
0.0103095794,0.0221962617,0.0204439252,0.0044404626,0.0264538198,0.0729760547,r
0.0119040358,0.0213479719,0.0289722476,0.0079706308,0.0422535211,0.0737240076,h
0.0055371320,0.0117576123,0.0367802231,0.0076852885,0.0298083747,0.0997325182,g
0.0018558173,0.0052003671,0.0094830223,0.0060422444,0.0182123173,0.0661567878,g
0.0034792036,0.0062093436,0.0156712005,0.0075918940,0.0231362468,0.0644677661,r
0.0079705764,0.0214631197,0.0000000000,0.0075843914,0.0359225566,0.1629515757,r
0.0030248216,0.0081398854,0.0153753392,0.0081011756,0.0241895262,0.0658705701,h
0.0040003941,0.0088678688,0.0124150163,0.0081153421,0.0307269548,0.0638617581,r
0.0057589511,0.0114977307,0.0172465961,0.0075739921,0.0293637847,0.1054263566,g
0.0023552401,0.0077136686,0.0064794816,0.0076694959,0.0193271296,0.0763209393,g
0.0015417331,0.0041467305,0.0121212121,0.0071428571,0.0195518453,0.0802715655,g
0.0111762287,0.0219000617,0.0092535472,0.0080321571,0.0219123506,0.0530274539,h
0.0057756246,0.0102593331,0.0233684810,0.0069012965,0.0261130137,0.0560292326,h
0.0089533807,0.0169805496,0.0200679222,0.0078869411,0.0373261771,0.1013615734,g
0.0030707071,0.0124242424,0.0148484848,0.0075583328,0.0281526291,0.0725838264,h
