@RELATION fundus

@ATTRIBUTE BLUE_AVG1 REAL
@ATTRIBUTE class {g,h,r}

@DATA
0.0248238186,r
0.0248071346,g
0.0240613027,h
0.0246305419,g
0.0249109540,r
0.0249286812,r
0.0249492076,r
0.0223738673,h
0.0255793026,h
0.0245545837,g
0.0252892746,g
0.0235224459,h
0.0230005516,h
0.0076168807,r
0.0245005654,g
0.0248223850,g
0.0248351648,g
0.0250165599,r
0.0239498895,r
0.0205086580,r
0.0246294185,h
0.0250593627,h
0.0251963241,h
0.0247501922,h
0.0245067385,g
0.0186893457,r
0.0248275862,g
0.0252978510,r
0.0249807840,h
0.0249738710,r
0.0159417929,r
0.0245098569,h
0.0246629183,g
0.0248347446,g
0.0243521097,r
0.0245196003,r
0.0249724851,h
0.0243962649,r
0.0251827243,g
0.0253844003,g
0.0259470561,g
0.0241873959,h
0.0262745780,h
0.0244002593,g
0.0256184841,h
