@RELATION fundus

@ATTRIBUTE RED_MAX1 REAL
@ATTRIBUTE class {g,h,r}

@DATA
0.0061892131,r
0.0285276074,g
0.0105230579,h
0.0154165431,g
0.0090625885,r
0.0204858063,r
0.0245707519,r
0.0112927192,h
0.0215782984,h
0.0074673304,g
0.0069052103,g
0.0106351551,h
0.0101071975,h
0.0050790068,r
0.0096067247,g
0.0156657963,g
0.0159275453,g
0.0089605735,r
0.0306864916,r
0.0306804374,r
0.0105612553,h
0.0093429777,h
0.0105602816,h
0.0204144757,h
0.0093321668,g
0.0151206746,r
0.0070733864,g
0.0265433940,r
0.0125074449,h
0.0329877474,r
0.0221962617,r
0.0213479719,h
0.0117576123,g
0.0052003671,g
0.0062093436,r
0.0214631197,r
0.0081398854,h
0.0088678688,r
0.0114977307,g
0.0077136686,g
0.0041467305,g
0.0219000617,h
0.0102593331,h
0.0169805496,g
0.0124242424,h
