@RELATION fundus

@ATTRIBUTE RED_MAX1 REAL
@ATTRIBUTE GREEN_AVG1 REAL
@ATTRIBUTE BLUE_AVG1 REAL
@ATTRIBUTE BLUE_MAX1 REAL
@ATTRIBUTE class {g,h,r}

@DATA
0.0061892131,0.0080991559,0.0248238186,0.0642447419,r
0.0285276074,0.0079233160,0.0248071346,0.0643431635,g
0.0105230579,0.0067913351,0.0240613027,0.0593869732,h
0.0154165431,0.0077231082,0.0246305419,0.1125426298,g
0.0090625885,0.0065898723,0.0249109540,0.0751822018,r
0.0204858063,0.0077485878,0.0249286812,0.1559139785,r
0.0245707519,0.0069454223,0.0249492076,0.0666395774,r
0.0112927192,0.0038901680,0.0223738673,0.0563821457,h
0.0215782984,0.0072339609,0.0255793026,0.0559055118,h
0.0074673304,0.0080977275,0.0245545837,0.0820105820,g
0.0069052103,0.0078768783,0.0252892746,0.0860591900,g
0.0106351551,0.0068193700,0.0235224459,0.0697061040,h
0.0101071975,0.0075536338,0.0230005516,0.0559845560,h
0.0050790068,0.0014731228,0.0076168807,0.0242700038,r
0.0096067247,0.0079113924,0.0245005654,0.0844327177,g
0.0156657963,0.0077981337,0.0248223850,0.0680948738,g
0.0159275453,0.0080731394,0.0248351648,0.1223076923,g
0.0089605735,0.0076257782,0.0250165599,0.0838485317,r
0.0306864916,0.0078287777,0.0239498895,0.0847457627,r
0.0306804374,0.0076829598,0.0205086580,0.1011363636,r
0.0105612553,0.0081437899,0.0246294185,0.0748764728,h
0.0093429777,0.0078197664,0.0250593627,0.0653266332,h
0.0105602816,0.0077256241,0.0251963241,0.0732943470,h
0.0204144757,0.0081426406,0.0247501922,0.0626441199,h
0.0093321668,0.0078727084,0.0245067385,0.0675471698,g
0.0151206746,0.0060881736,0.0186893457,0.0416362308,r
0.0070733864,0.0072302636,0.0248275862,0.0961685824,g
0.0265433940,0.0076275450,0.0252978510,0.1091192518,r
0.0125074449,0.0077019517,0.0249807840,0.0703305150,h
0.0329877474,0.0078307645,0.0249738710,0.0481324605,r
0.0221962617,0.0044404626,0.0159417929,0.0729760547,r
0.0213479719,0.0079706308,0.0245098569,0.0737240076,h
0.0117576123,0.0076852885,0.0246629183,0.0997325182,g
0.0052003671,0.0060422444,0.0248347446,0.0661567878,g
0.0062093436,0.0075918940,0.0243521097,0.0644677661,r
0.0214631197,0.0075843914,0.0245196003,0.1629515757,r
0.0081398854,0.0081011756,0.0249724851,0.0658705701,h
0.0088678688,0.0081153421,0.0243962649,0.0638617581,r
0.0114977307,0.0075739921,0.0251827243,0.1054263566,g
0.0077136686,0.0076694959,0.0253844003,0.0763209393,g
0.0041467305,0.0071428571,0.0259470561,0.0802715655,g
0.0219000617,0.0080321571,0.0241873959,0.0530274539,h
0.0102593331,0.0069012965,0.0262745780,0.0560292326,h
0.0169805496,0.0078869411,0.0244002593,0.1013615734,g
0.0124242424,0.0075583328,0.0256184841,0.0725838264,h
