@RELATION fundus

@ATTRIBUTE RED_AVG2 REAL
@ATTRIBUTE GREEN_AVG1 REAL
@ATTRIBUTE BLUE_AVG1 REAL
@ATTRIBUTE class {g,h,r}

@DATA
0.0119805482,0.0080991559,0.0248238186,r
0.0059509203,0.0079233160,0.0248071346,g
0.0038378211,0.0067913351,0.0240613027,h
0.0157130151,0.0077231082,0.0246305419,g
0.0093599547,0.0065898723,0.0249109540,r
0.0012584138,0.0077485878,0.0249286812,r
0.0068235643,0.0069454223,0.0249492076,r
0.0079940565,0.0038901680,0.0223738673,h
0.0017416769,0.0072339609,0.0255793026,h
0.0059738643,0.0080977275,0.0245545837,g
0.0039077213,0.0078768783,0.0252892746,g
0.0087887740,0.0068193700,0.0235224459,h
0.0060183767,0.0075536338,0.0230005516,h
0.0036681716,0.0014731228,0.0076168807,r
0.0126088262,0.0079113924,0.0245005654,g
0.0076008123,0.0077981337,0.0248223850,g
0.0103216740,0.0080731394,0.0248351648,g
0.0086768220,0.0076257782,0.0250165599,r
0.0000000000,0.0078287777,0.0239498895,r
0.0001822600,0.0076829598,0.0205086580,r
0.0085998793,0.0081437899,0.0246294185,h
0.0064345992,0.0078197664,0.0250593627,h
0.0094602523,0.0077256241,0.0251963241,h
0.0006186205,0.0081426406,0.0247501922,h
0.0091134442,0.0078727084,0.0245067385,g
0.0083745275,0.0060881736,0.0186893457,r
0.0063071029,0.0072302636,0.0248275862,g
0.0000447361,0.0076275450,0.0252978510,r
0.0075044669,0.0077019517,0.0249807840,h
0.0060791706,0.0078307645,0.0249738710,r
0.0103679907,0.0044404626,0.0159417929,r
0.0102012809,0.0079706308,0.0245098569,h
0.0180735604,0.0076852885,0.0246629183,g
0.0058733558,0.0060422444,0.0248347446,g
0.0062832643,0.0075918940,0.0243521097,r
0.0000000000,0.0075843914,0.0245196003,r
0.0060144709,0.0081011756,0.0249724851,h
0.0067986994,0.0081153421,0.0243962649,r
0.0098335855,0.0075739921,0.0251827243,g
0.0029929034,0.0076694959,0.0253844003,g
0.0050398724,0.0071428571,0.0259470561,g
0.0033004318,0.0080321571,0.0241873959,h
0.0137361071,0.0069012965,0.0262745780,h
0.0116702686,0.0078869411,0.0244002593,g
0.0065909091,0.0075583328,0.0256184841,h
