@RELATION fundus

@ATTRIBUTE GREEN_AVG1 REAL
@ATTRIBUTE class {g,h,r}

@DATA
0.0080991559,r
0.0079233160,g
0.0067913351,h
0.0077231082,g
0.0065898723,r
0.0077485878,r
0.0069454223,r
0.0038901680,h
0.0072339609,h
0.0080977275,g
0.0078768783,g
0.0068193700,h
0.0075536338,h
0.0014731228,r
0.0079113924,g
0.0077981337,g
0.0080731394,g
0.0076257782,r
0.0078287777,r
0.0076829598,r
0.0081437899,h
0.0078197664,h
0.0077256241,h
0.0081426406,h
0.0078727084,g
0.0060881736,r
0.0072302636,g
0.0076275450,r
0.0077019517,h
0.0078307645,r
0.0044404626,r
0.0079706308,h
0.0076852885,g
0.0060422444,g
0.0075918940,r
0.0075843914,r
0.0081011756,h
0.0081153421,r
0.0075739921,g
0.0076694959,g
0.0071428571,g
0.0080321571,h
0.0069012965,h
0.0078869411,g
0.0075583328,h
