@RELATION fundus

@ATTRIBUTE RED_AVG2 REAL
@ATTRIBUTE RED_MAX1 REAL
@ATTRIBUTE class {g,h,r}

@DATA
0.0119805482,0.0061892131,r
0.0059509203,0.0285276074,g
0.0038378211,0.0105230579,h
0.0157130151,0.0154165431,g
0.0093599547,0.0090625885,r
0.0012584138,0.0204858063,r
0.0068235643,0.0245707519,r
0.0079940565,0.0112927192,h
0.0017416769,0.0215782984,h
0.0059738643,0.0074673304,g
0.0039077213,0.0069052103,g
0.0087887740,0.0106351551,h
0.0060183767,0.0101071975,h
0.0036681716,0.0050790068,r
0.0126088262,0.0096067247,g
0.0076008123,0.0156657963,g
0.0103216740,0.0159275453,g
0.0086768220,0.0089605735,r
0.0000000000,0.0306864916,r
0.0001822600,0.0306804374,r
0.0085998793,0.0105612553,h
0.0064345992,0.0093429777,h
0.0094602523,0.0105602816,h
0.0006186205,0.0204144757,h
0.0091134442,0.0093321668,g
0.0083745275,0.0151206746,r
0.0063071029,0.0070733864,g
0.0000447361,0.0265433940,r
0.0075044669,0.0125074449,h
0.0060791706,0.0329877474,r
0.0103679907,0.0221962617,r
0.0102012809,0.0213479719,h
0.0180735604,0.0117576123,g
0.0058733558,0.0052003671,g
0.0062832643,0.0062093436,r
0.0000000000,0.0214631197,r
0.0060144709,0.0081398854,h
0.0067986994,0.0088678688,r
0.0098335855,0.0114977307,g
0.0029929034,0.0077136686,g
0.0050398724,0.0041467305,g
0.0033004318,0.0219000617,h
0.0137361071,0.0102593331,h
0.0116702686,0.0169805496,g
0.0065909091,0.0124242424,h
