@RELATION fundus

@ATTRIBUTE RED_AVG1 REAL
@ATTRIBUTE BLUE_AVG1 REAL
@ATTRIBUTE class {g,¬g}

@DATA
0.0031928480,0.0248238186,¬g
0.0118200409,0.0248071346,g
0.0027545651,0.0240613027,¬g
0.0067200316,0.0246305419,g
0.0048239403,0.0249109540,¬g
0.0118720125,0.0249286812,¬g
0.0134695086,0.0249492076,¬g
0.0058841010,0.0223738673,¬g
0.0145499384,0.0255793026,¬g
0.0034536403,0.0245545837,g
0.0039861896,0.0252892746,g
0.0031511571,0.0235224459,¬g
0.0033792751,0.0230005516,¬g
0.0013638074,0.0076168807,¬g
0.0037826479,0.0245005654,g
0.0073397157,0.0248223850,g
0.0101915470,0.0248351648,g
0.0029569893,0.0250165599,¬g
0.0120953285,0.0239498895,¬g
0.0156541110,0.0205086580,¬g
0.0046670690,0.0246294185,¬g
0.0038778381,0.0250593627,¬g
0.0026596265,0.0251963241,¬g
0.0122383751,0.0247501922,¬g
0.0056479051,0.0245067385,g
0.0109140254,0.0186893457,¬g
0.0036840554,0.0248275862,g
0.0133412864,0.0252978510,¬g
0.0053107008,0.0249807840,¬g
0.0163158446,0.0249738710,¬g
0.0103095794,0.0159417929,¬g
0.0119040358,0.0245098569,¬g
0.0055371320,0.0246629183,g
0.0018558173,0.0248347446,g
0.0034792036,0.0243521097,¬g
0.0079705764,0.0245196003,¬g
0.0030248216,0.0249724851,¬g
0.0040003941,0.0243962649,¬g
0.0057589511,0.0251827243,g
0.0023552401,0.0253844003,g
0.0015417331,0.0259470561,g
0.0111762287,0.0241873959,¬g
0.0057756246,0.0262745780,¬g
0.0089533807,0.0244002593,g
0.0030707071,0.0256184841,¬g
