@RELATION fundus

@ATTRIBUTE RED_AVG1 REAL
@ATTRIBUTE GREEN_MAX1 REAL
@ATTRIBUTE BLUE_AVG1 REAL
@ATTRIBUTE BLUE_MAX1 REAL
@ATTRIBUTE class {g,¬g}

@DATA
0.0031928480,0.0334081276,0.0248238186,0.0642447419,¬g
0.0118200409,0.0197995600,0.0248071346,0.0643431635,g
0.0027545651,0.0172370722,0.0240613027,0.0593869732,¬g
0.0067200316,0.0446555819,0.0246305419,0.1125426298,g
0.0048239403,0.0241212957,0.0249109540,0.0751822018,¬g
0.0118720125,0.0390662220,0.0249286812,0.1559139785,¬g
0.0134695086,0.0222841226,0.0249492076,0.0666395774,¬g
0.0058841010,0.0113062305,0.0223738673,0.0563821457,¬g
0.0145499384,0.0246140076,0.0255793026,0.0559055118,¬g
0.0034536403,0.0370923575,0.0245545837,0.0820105820,g
0.0039861896,0.0319922443,0.0252892746,0.0860591900,g
0.0031511571,0.0228728271,0.0235224459,0.0697061040,¬g
0.0033792751,0.0195576251,0.0230005516,0.0559845560,¬g
0.0013638074,0.0079672206,0.0076168807,0.0242700038,¬g
0.0037826479,0.0272638754,0.0245005654,0.0844327177,g
0.0073397157,0.0232949087,0.0248223850,0.0680948738,g
0.0101915470,0.0424151697,0.0248351648,0.1223076923,g
0.0029569893,0.0303886926,0.0250165599,0.0838485317,¬g
0.0120953285,0.0308062575,0.0239498895,0.0847457627,¬g
0.0156541110,0.0526937618,0.0205086580,0.1011363636,¬g
0.0046670690,0.0406830738,0.0246294185,0.0748764728,¬g
0.0038778381,0.0245960936,0.0250593627,0.0653266332,¬g
0.0026596265,0.0419028839,0.0251963241,0.0732943470,¬g
0.0122383751,0.0275391612,0.0247501922,0.0626441199,¬g
0.0056479051,0.0295399516,0.0245067385,0.0675471698,g
0.0109140254,0.0156286447,0.0186893457,0.0416362308,¬g
0.0036840554,0.0345080764,0.0248275862,0.0961685824,g
0.0133412864,0.0286452219,0.0252978510,0.1091192518,¬g
0.0053107008,0.0310721063,0.0249807840,0.0703305150,¬g
0.0163158446,0.0294472604,0.0249738710,0.0481324605,¬g
0.0103095794,0.0264538198,0.0159417929,0.0729760547,¬g
0.0119040358,0.0422535211,0.0245098569,0.0737240076,¬g
0.0055371320,0.0298083747,0.0246629183,0.0997325182,g
0.0018558173,0.0182123173,0.0248347446,0.0661567878,g
0.0034792036,0.0231362468,0.0243521097,0.0644677661,¬g
0.0079705764,0.0359225566,0.0245196003,0.1629515757,¬g
0.0030248216,0.0241895262,0.0249724851,0.0658705701,¬g
0.0040003941,0.0307269548,0.0243962649,0.0638617581,¬g
0.0057589511,0.0293637847,0.0251827243,0.1054263566,g
0.0023552401,0.0193271296,0.0253844003,0.0763209393,g
0.0015417331,0.0195518453,0.0259470561,0.0802715655,g
0.0111762287,0.0219123506,0.0241873959,0.0530274539,¬g
0.0057756246,0.0261130137,0.0262745780,0.0560292326,¬g
0.0089533807,0.0373261771,0.0244002593,0.1013615734,g
0.0030707071,0.0281526291,0.0256184841,0.0725838264,¬g
