@RELATION fundus

@ATTRIBUTE RED_AVG1 REAL
@ATTRIBUTE GREEN_AVG1 REAL
@ATTRIBUTE class {g,¬g}

@DATA
0.0031928480,0.0080991559,¬g
0.0118200409,0.0079233160,g
0.0027545651,0.0067913351,¬g
0.0067200316,0.0077231082,g
0.0048239403,0.0065898723,¬g
0.0118720125,0.0077485878,¬g
0.0134695086,0.0069454223,¬g
0.0058841010,0.0038901680,¬g
0.0145499384,0.0072339609,¬g
0.0034536403,0.0080977275,g
0.0039861896,0.0078768783,g
0.0031511571,0.0068193700,¬g
0.0033792751,0.0075536338,¬g
0.0013638074,0.0014731228,¬g
0.0037826479,0.0079113924,g
0.0073397157,0.0077981337,g
0.0101915470,0.0080731394,g
0.0029569893,0.0076257782,¬g
0.0120953285,0.0078287777,¬g
0.0156541110,0.0076829598,¬g
0.0046670690,0.0081437899,¬g
0.0038778381,0.0078197664,¬g
0.0026596265,0.0077256241,¬g
0.0122383751,0.0081426406,¬g
0.0056479051,0.0078727084,g
0.0109140254,0.0060881736,¬g
0.0036840554,0.0072302636,g
0.0133412864,0.0076275450,¬g
0.0053107008,0.0077019517,¬g
0.0163158446,0.0078307645,¬g
0.0103095794,0.0044404626,¬g
0.0119040358,0.0079706308,¬g
0.0055371320,0.0076852885,g
0.0018558173,0.0060422444,g
0.0034792036,0.0075918940,¬g
0.0079705764,0.0075843914,¬g
0.0030248216,0.0081011756,¬g
0.0040003941,0.0081153421,¬g
0.0057589511,0.0075739921,g
0.0023552401,0.0076694959,g
0.0015417331,0.0071428571,g
0.0111762287,0.0080321571,¬g
0.0057756246,0.0069012965,¬g
0.0089533807,0.0078869411,g
0.0030707071,0.0075583328,¬g
