@RELATION fundus

@ATTRIBUTE RED_AVG1 REAL
@ATTRIBUTE GREEN_AVG1 REAL
@ATTRIBUTE BLUE_MAX1 REAL
@ATTRIBUTE class {g,¬g}

@DATA
0.0031928480,0.0080991559,0.0642447419,¬g
0.0118200409,0.0079233160,0.0643431635,g
0.0027545651,0.0067913351,0.0593869732,¬g
0.0067200316,0.0077231082,0.1125426298,g
0.0048239403,0.0065898723,0.0751822018,¬g
0.0118720125,0.0077485878,0.1559139785,¬g
0.0134695086,0.0069454223,0.0666395774,¬g
0.0058841010,0.0038901680,0.0563821457,¬g
0.0145499384,0.0072339609,0.0559055118,¬g
0.0034536403,0.0080977275,0.0820105820,g
0.0039861896,0.0078768783,0.0860591900,g
0.0031511571,0.0068193700,0.0697061040,¬g
0.0033792751,0.0075536338,0.0559845560,¬g
0.0013638074,0.0014731228,0.0242700038,¬g
0.0037826479,0.0079113924,0.0844327177,g
0.0073397157,0.0077981337,0.0680948738,g
0.0101915470,0.0080731394,0.1223076923,g
0.0029569893,0.0076257782,0.0838485317,¬g
0.0120953285,0.0078287777,0.0847457627,¬g
0.0156541110,0.0076829598,0.1011363636,¬g
0.0046670690,0.0081437899,0.0748764728,¬g
0.0038778381,0.0078197664,0.0653266332,¬g
0.0026596265,0.0077256241,0.0732943470,¬g
0.0122383751,0.0081426406,0.0626441199,¬g
0.0056479051,0.0078727084,0.0675471698,g
0.0109140254,0.0060881736,0.0416362308,¬g
0.0036840554,0.0072302636,0.0961685824,g
0.0133412864,0.0076275450,0.1091192518,¬g
0.0053107008,0.0077019517,0.0703305150,¬g
0.0163158446,0.0078307645,0.0481324605,¬g
0.0103095794,0.0044404626,0.0729760547,¬g
0.0119040358,0.0079706308,0.0737240076,¬g
0.0055371320,0.0076852885,0.0997325182,g
0.0018558173,0.0060422444,0.0661567878,g
0.0034792036,0.0075918940,0.0644677661,¬g
0.0079705764,0.0075843914,0.1629515757,¬g
0.0030248216,0.0081011756,0.0658705701,¬g
0.0040003941,0.0081153421,0.0638617581,¬g
0.0057589511,0.0075739921,0.1054263566,g
0.0023552401,0.0076694959,0.0763209393,g
0.0015417331,0.0071428571,0.0802715655,g
0.0111762287,0.0080321571,0.0530274539,¬g
0.0057756246,0.0069012965,0.0560292326,¬g
0.0089533807,0.0078869411,0.1013615734,g
0.0030707071,0.0075583328,0.0725838264,¬g
