@RELATION fundus

@ATTRIBUTE RED_AVG1 REAL
@ATTRIBUTE RED_AVG2 REAL
@ATTRIBUTE GREEN_AVG1 REAL
@ATTRIBUTE BLUE_AVG1 REAL
@ATTRIBUTE class {g,¬g}

@DATA
0.0031928480,0.0119805482,0.0080991559,0.0248238186,¬g
0.0118200409,0.0059509203,0.0079233160,0.0248071346,g
0.0027545651,0.0038378211,0.0067913351,0.0240613027,¬g
0.0067200316,0.0157130151,0.0077231082,0.0246305419,g
0.0048239403,0.0093599547,0.0065898723,0.0249109540,¬g
0.0118720125,0.0012584138,0.0077485878,0.0249286812,¬g
0.0134695086,0.0068235643,0.0069454223,0.0249492076,¬g
0.0058841010,0.0079940565,0.0038901680,0.0223738673,¬g
0.0145499384,0.0017416769,0.0072339609,0.0255793026,¬g
0.0034536403,0.0059738643,0.0080977275,0.0245545837,g
0.0039861896,0.0039077213,0.0078768783,0.0252892746,g
0.0031511571,0.0087887740,0.0068193700,0.0235224459,¬g
0.0033792751,0.0060183767,0.0075536338,0.0230005516,¬g
0.0013638074,0.0036681716,0.0014731228,0.0076168807,¬g
0.0037826479,0.0126088262,0.0079113924,0.0245005654,g
0.0073397157,0.0076008123,0.0077981337,0.0248223850,g
0.0101915470,0.0103216740,0.0080731394,0.0248351648,g
0.0029569893,0.0086768220,0.0076257782,0.0250165599,¬g
0.0120953285,0.0000000000,0.0078287777,0.0239498895,¬g
0.0156541110,0.0001822600,0.0076829598,0.0205086580,¬g
0.0046670690,0.0085998793,0.0081437899,0.0246294185,¬g
0.0038778381,0.0064345992,0.0078197664,0.0250593627,¬g
0.0026596265,0.0094602523,0.0077256241,0.0251963241,¬g
0.0122383751,0.0006186205,0.0081426406,0.0247501922,¬g
0.0056479051,0.0091134442,0.0078727084,0.0245067385,g
0.0109140254,0.0083745275,0.0060881736,0.0186893457,¬g
0.0036840554,0.0063071029,0.0072302636,0.0248275862,g
0.0133412864,0.0000447361,0.0076275450,0.0252978510,¬g
0.0053107008,0.0075044669,0.0077019517,0.0249807840,¬g
0.0163158446,0.0060791706,0.0078307645,0.0249738710,¬g
0.0103095794,0.0103679907,0.0044404626,0.0159417929,¬g
0.0119040358,0.0102012809,0.0079706308,0.0245098569,¬g
0.0055371320,0.0180735604,0.0076852885,0.0246629183,g
0.0018558173,0.0058733558,0.0060422444,0.0248347446,g
0.0034792036,0.0062832643,0.0075918940,0.0243521097,¬g
0.0079705764,0.0000000000,0.0075843914,0.0245196003,¬g
0.0030248216,0.0060144709,0.0081011756,0.0249724851,¬g
0.0040003941,0.0067986994,0.0081153421,0.0243962649,¬g
0.0057589511,0.0098335855,0.0075739921,0.0251827243,g
0.0023552401,0.0029929034,0.0076694959,0.0253844003,g
0.0015417331,0.0050398724,0.0071428571,0.0259470561,g
0.0111762287,0.0033004318,0.0080321571,0.0241873959,¬g
0.0057756246,0.0137361071,0.0069012965,0.0262745780,¬g
0.0089533807,0.0116702686,0.0078869411,0.0244002593,g
0.0030707071,0.0065909091,0.0075583328,0.0256184841,¬g
