@RELATION fundus

@ATTRIBUTE GREEN_MAX1 REAL
@ATTRIBUTE class {g,¬g}

@DATA
0.0334081276,¬g
0.0197995600,g
0.0172370722,¬g
0.0446555819,g
0.0241212957,¬g
0.0390662220,¬g
0.0222841226,¬g
0.0113062305,¬g
0.0246140076,¬g
0.0370923575,g
0.0319922443,g
0.0228728271,¬g
0.0195576251,¬g
0.0079672206,¬g
0.0272638754,g
0.0232949087,g
0.0424151697,g
0.0303886926,¬g
0.0308062575,¬g
0.0526937618,¬g
0.0406830738,¬g
0.0245960936,¬g
0.0419028839,¬g
0.0275391612,¬g
0.0295399516,g
0.0156286447,¬g
0.0345080764,g
0.0286452219,¬g
0.0310721063,¬g
0.0294472604,¬g
0.0264538198,¬g
0.0422535211,¬g
0.0298083747,g
0.0182123173,g
0.0231362468,¬g
0.0359225566,¬g
0.0241895262,¬g
0.0307269548,¬g
0.0293637847,g
0.0193271296,g
0.0195518453,g
0.0219123506,¬g
0.0261130137,¬g
0.0373261771,g
0.0281526291,¬g
