@RELATION fundus

@ATTRIBUTE GREEN_MAX1 REAL
@ATTRIBUTE BLUE_MAX1 REAL
@ATTRIBUTE class {g,¬g}

@DATA
0.0334081276,0.0642447419,¬g
0.0197995600,0.0643431635,g
0.0172370722,0.0593869732,¬g
0.0446555819,0.1125426298,g
0.0241212957,0.0751822018,¬g
0.0390662220,0.1559139785,¬g
0.0222841226,0.0666395774,¬g
0.0113062305,0.0563821457,¬g
0.0246140076,0.0559055118,¬g
0.0370923575,0.0820105820,g
0.0319922443,0.0860591900,g
0.0228728271,0.0697061040,¬g
0.0195576251,0.0559845560,¬g
0.0079672206,0.0242700038,¬g
0.0272638754,0.0844327177,g
0.0232949087,0.0680948738,g
0.0424151697,0.1223076923,g
0.0303886926,0.0838485317,¬g
0.0308062575,0.0847457627,¬g
0.0526937618,0.1011363636,¬g
0.0406830738,0.0748764728,¬g
0.0245960936,0.0653266332,¬g
0.0419028839,0.0732943470,¬g
0.0275391612,0.0626441199,¬g
0.0295399516,0.0675471698,g
0.0156286447,0.0416362308,¬g
0.0345080764,0.0961685824,g
0.0286452219,0.1091192518,¬g
0.0310721063,0.0703305150,¬g
0.0294472604,0.0481324605,¬g
0.0264538198,0.0729760547,¬g
0.0422535211,0.0737240076,¬g
0.0298083747,0.0997325182,g
0.0182123173,0.0661567878,g
0.0231362468,0.0644677661,¬g
0.0359225566,0.1629515757,¬g
0.0241895262,0.0658705701,¬g
0.0307269548,0.0638617581,¬g
0.0293637847,0.1054263566,g
0.0193271296,0.0763209393,g
0.0195518453,0.0802715655,g
0.0219123506,0.0530274539,¬g
0.0261130137,0.0560292326,¬g
0.0373261771,0.1013615734,g
0.0281526291,0.0725838264,¬g
