@RELATION fundus

@ATTRIBUTE GREEN_MAX1 REAL
@ATTRIBUTE BLUE_AVG1 REAL
@ATTRIBUTE class {g,¬g}

@DATA
0.0334081276,0.0248238186,¬g
0.0197995600,0.0248071346,g
0.0172370722,0.0240613027,¬g
0.0446555819,0.0246305419,g
0.0241212957,0.0249109540,¬g
0.0390662220,0.0249286812,¬g
0.0222841226,0.0249492076,¬g
0.0113062305,0.0223738673,¬g
0.0246140076,0.0255793026,¬g
0.0370923575,0.0245545837,g
0.0319922443,0.0252892746,g
0.0228728271,0.0235224459,¬g
0.0195576251,0.0230005516,¬g
0.0079672206,0.0076168807,¬g
0.0272638754,0.0245005654,g
0.0232949087,0.0248223850,g
0.0424151697,0.0248351648,g
0.0303886926,0.0250165599,¬g
0.0308062575,0.0239498895,¬g
0.0526937618,0.0205086580,¬g
0.0406830738,0.0246294185,¬g
0.0245960936,0.0250593627,¬g
0.0419028839,0.0251963241,¬g
0.0275391612,0.0247501922,¬g
0.0295399516,0.0245067385,g
0.0156286447,0.0186893457,¬g
0.0345080764,0.0248275862,g
0.0286452219,0.0252978510,¬g
0.0310721063,0.0249807840,¬g
0.0294472604,0.0249738710,¬g
0.0264538198,0.0159417929,¬g
0.0422535211,0.0245098569,¬g
0.0298083747,0.0246629183,g
0.0182123173,0.0248347446,g
0.0231362468,0.0243521097,¬g
0.0359225566,0.0245196003,¬g
0.0241895262,0.0249724851,¬g
0.0307269548,0.0243962649,¬g
0.0293637847,0.0251827243,g
0.0193271296,0.0253844003,g
0.0195518453,0.0259470561,g
0.0219123506,0.0241873959,¬g
0.0261130137,0.0262745780,¬g
0.0373261771,0.0244002593,g
0.0281526291,0.0256184841,¬g
