@RELATION fundus

@ATTRIBUTE RED_AVG2 REAL
@ATTRIBUTE BLUE_MAX1 REAL
@ATTRIBUTE class {g,¬g}

@DATA
0.0119805482,0.0642447419,¬g
0.0059509203,0.0643431635,g
0.0038378211,0.0593869732,¬g
0.0157130151,0.1125426298,g
0.0093599547,0.0751822018,¬g
0.0012584138,0.1559139785,¬g
0.0068235643,0.0666395774,¬g
0.0079940565,0.0563821457,¬g
0.0017416769,0.0559055118,¬g
0.0059738643,0.0820105820,g
0.0039077213,0.0860591900,g
0.0087887740,0.0697061040,¬g
0.0060183767,0.0559845560,¬g
0.0036681716,0.0242700038,¬g
0.0126088262,0.0844327177,g
0.0076008123,0.0680948738,g
0.0103216740,0.1223076923,g
0.0086768220,0.0838485317,¬g
0.0000000000,0.0847457627,¬g
0.0001822600,0.1011363636,¬g
0.0085998793,0.0748764728,¬g
0.0064345992,0.0653266332,¬g
0.0094602523,0.0732943470,¬g
0.0006186205,0.0626441199,¬g
0.0091134442,0.0675471698,g
0.0083745275,0.0416362308,¬g
0.0063071029,0.0961685824,g
0.0000447361,0.1091192518,¬g
0.0075044669,0.0703305150,¬g
0.0060791706,0.0481324605,¬g
0.0103679907,0.0729760547,¬g
0.0102012809,0.0737240076,¬g
0.0180735604,0.0997325182,g
0.0058733558,0.0661567878,g
0.0062832643,0.0644677661,¬g
0.0000000000,0.1629515757,¬g
0.0060144709,0.0658705701,¬g
0.0067986994,0.0638617581,¬g
0.0098335855,0.1054263566,g
0.0029929034,0.0763209393,g
0.0050398724,0.0802715655,g
0.0033004318,0.0530274539,¬g
0.0137361071,0.0560292326,¬g
0.0116702686,0.1013615734,g
0.0065909091,0.0725838264,¬g
