@RELATION fundus

@ATTRIBUTE GREEN_AVG1 REAL
@ATTRIBUTE class {g,¬g}

@DATA
0.0080991559,¬g
0.0079233160,g
0.0067913351,¬g
0.0077231082,g
0.0065898723,¬g
0.0077485878,¬g
0.0069454223,¬g
0.0038901680,¬g
0.0072339609,¬g
0.0080977275,g
0.0078768783,g
0.0068193700,¬g
0.0075536338,¬g
0.0014731228,¬g
0.0079113924,g
0.0077981337,g
0.0080731394,g
0.0076257782,¬g
0.0078287777,¬g
0.0076829598,¬g
0.0081437899,¬g
0.0078197664,¬g
0.0077256241,¬g
0.0081426406,¬g
0.0078727084,g
0.0060881736,¬g
0.0072302636,g
0.0076275450,¬g
0.0077019517,¬g
0.0078307645,¬g
0.0044404626,¬g
0.0079706308,¬g
0.0076852885,g
0.0060422444,g
0.0075918940,¬g
0.0075843914,¬g
0.0081011756,¬g
0.0081153421,¬g
0.0075739921,g
0.0076694959,g
0.0071428571,g
0.0080321571,¬g
0.0069012965,¬g
0.0078869411,g
0.0075583328,¬g
