@RELATION fundus

@ATTRIBUTE RED_AVG1 REAL
@ATTRIBUTE class {h,¬h}

@DATA
0.0031928480,¬h
0.0118200409,¬h
0.0027545651,h
0.0067200316,¬h
0.0048239403,¬h
0.0118720125,¬h
0.0134695086,¬h
0.0058841010,h
0.0145499384,h
0.0034536403,¬h
0.0039861896,¬h
0.0031511571,h
0.0033792751,h
0.0013638074,¬h
0.0037826479,¬h
0.0073397157,¬h
0.0101915470,¬h
0.0029569893,¬h
0.0120953285,¬h
0.0156541110,¬h
0.0046670690,h
0.0038778381,h
0.0026596265,h
0.0122383751,h
0.0056479051,¬h
0.0109140254,¬h
0.0036840554,¬h
0.0133412864,¬h
0.0053107008,h
0.0163158446,¬h
0.0103095794,¬h
0.0119040358,h
0.0055371320,¬h
0.0018558173,¬h
0.0034792036,¬h
0.0079705764,¬h
0.0030248216,h
0.0040003941,¬h
0.0057589511,¬h
0.0023552401,¬h
0.0015417331,¬h
0.0111762287,h
0.0057756246,h
0.0089533807,¬h
0.0030707071,h
