@RELATION fundus

@ATTRIBUTE GREEN_AVG1 REAL
@ATTRIBUTE GREEN_MAX1 REAL
@ATTRIBUTE BLUE_MAX1 REAL
@ATTRIBUTE class {h,¬h}

@DATA
0.0080991559,0.0334081276,0.0642447419,¬h
0.0079233160,0.0197995600,0.0643431635,¬h
0.0067913351,0.0172370722,0.0593869732,h
0.0077231082,0.0446555819,0.1125426298,¬h
0.0065898723,0.0241212957,0.0751822018,¬h
0.0077485878,0.0390662220,0.1559139785,¬h
0.0069454223,0.0222841226,0.0666395774,¬h
0.0038901680,0.0113062305,0.0563821457,h
0.0072339609,0.0246140076,0.0559055118,h
0.0080977275,0.0370923575,0.0820105820,¬h
0.0078768783,0.0319922443,0.0860591900,¬h
0.0068193700,0.0228728271,0.0697061040,h
0.0075536338,0.0195576251,0.0559845560,h
0.0014731228,0.0079672206,0.0242700038,¬h
0.0079113924,0.0272638754,0.0844327177,¬h
0.0077981337,0.0232949087,0.0680948738,¬h
0.0080731394,0.0424151697,0.1223076923,¬h
0.0076257782,0.0303886926,0.0838485317,¬h
0.0078287777,0.0308062575,0.0847457627,¬h
0.0076829598,0.0526937618,0.1011363636,¬h
0.0081437899,0.0406830738,0.0748764728,h
0.0078197664,0.0245960936,0.0653266332,h
0.0077256241,0.0419028839,0.0732943470,h
0.0081426406,0.0275391612,0.0626441199,h
0.0078727084,0.0295399516,0.0675471698,¬h
0.0060881736,0.0156286447,0.0416362308,¬h
0.0072302636,0.0345080764,0.0961685824,¬h
0.0076275450,0.0286452219,0.1091192518,¬h
0.0077019517,0.0310721063,0.0703305150,h
0.0078307645,0.0294472604,0.0481324605,¬h
0.0044404626,0.0264538198,0.0729760547,¬h
0.0079706308,0.0422535211,0.0737240076,h
0.0076852885,0.0298083747,0.0997325182,¬h
0.0060422444,0.0182123173,0.0661567878,¬h
0.0075918940,0.0231362468,0.0644677661,¬h
0.0075843914,0.0359225566,0.1629515757,¬h
0.0081011756,0.0241895262,0.0658705701,h
0.0081153421,0.0307269548,0.0638617581,¬h
0.0075739921,0.0293637847,0.1054263566,¬h
0.0076694959,0.0193271296,0.0763209393,¬h
0.0071428571,0.0195518453,0.0802715655,¬h
0.0080321571,0.0219123506,0.0530274539,h
0.0069012965,0.0261130137,0.0560292326,h
0.0078869411,0.0373261771,0.1013615734,¬h
0.0075583328,0.0281526291,0.0725838264,h
