@RELATION fundus

@ATTRIBUTE RED_MAX2 REAL
@ATTRIBUTE BLUE_AVG1 REAL
@ATTRIBUTE class {h,¬h}

@DATA
0.0223990569,0.0248238186,¬h
0.0205521472,0.0248071346,¬h
0.0092850511,0.0240613027,h
0.0254965906,0.0246305419,¬h
0.0150099122,0.0249109540,¬h
0.0038045069,0.0249286812,¬h
0.0216104204,0.0249492076,¬h
0.0124814264,0.0223738673,h
0.0061652281,0.0255793026,h
0.0102675793,0.0245545837,¬h
0.0075329567,0.0252892746,¬h
0.0147710487,0.0235224459,h
0.0147013783,0.0230005516,h
0.0101580135,0.0076168807,¬h
0.0279195437,0.0245005654,¬h
0.0124746156,0.0248223850,¬h
0.0165521549,0.0248351648,¬h
0.0173237754,0.0250165599,¬h
0.0000000000,0.0239498895,¬h
0.0015188335,0.0205086580,¬h
0.0175015088,0.0246294185,h
0.0126582278,0.0250593627,h
0.0193605163,0.0251963241,h
0.0024744819,0.0247501922,h
0.0201224847,0.0245067385,¬h
0.0194824077,0.0186893457,¬h
0.0117889773,0.0248275862,¬h
0.0005964808,0.0252978510,¬h
0.0139964264,0.0249807840,h
0.0226201697,0.0249738710,¬h
0.0204439252,0.0159417929,¬h
0.0289722476,0.0245098569,h
0.0367802231,0.0246629183,¬h
0.0094830223,0.0248347446,¬h
0.0156712005,0.0243521097,¬h
0.0000000000,0.0245196003,¬h
0.0153753392,0.0249724851,h
0.0124150163,0.0243962649,¬h
0.0172465961,0.0251827243,¬h
0.0064794816,0.0253844003,¬h
0.0121212121,0.0259470561,¬h
0.0092535472,0.0241873959,h
0.0233684810,0.0262745780,h
0.0200679222,0.0244002593,¬h
0.0148484848,0.0256184841,h
