@RELATION fundus

@ATTRIBUTE RED_AVG1 REAL
@ATTRIBUTE RED_AVG2 REAL
@ATTRIBUTE class {h,¬h}

@DATA
0.0031928480,0.0119805482,¬h
0.0118200409,0.0059509203,¬h
0.0027545651,0.0038378211,h
0.0067200316,0.0157130151,¬h
0.0048239403,0.0093599547,¬h
0.0118720125,0.0012584138,¬h
0.0134695086,0.0068235643,¬h
0.0058841010,0.0079940565,h
0.0145499384,0.0017416769,h
0.0034536403,0.0059738643,¬h
0.0039861896,0.0039077213,¬h
0.0031511571,0.0087887740,h
0.0033792751,0.0060183767,h
0.0013638074,0.0036681716,¬h
0.0037826479,0.0126088262,¬h
0.0073397157,0.0076008123,¬h
0.0101915470,0.0103216740,¬h
0.0029569893,0.0086768220,¬h
0.0120953285,0.0000000000,¬h
0.0156541110,0.0001822600,¬h
0.0046670690,0.0085998793,h
0.0038778381,0.0064345992,h
0.0026596265,0.0094602523,h
0.0122383751,0.0006186205,h
0.0056479051,0.0091134442,¬h
0.0109140254,0.0083745275,¬h
0.0036840554,0.0063071029,¬h
0.0133412864,0.0000447361,¬h
0.0053107008,0.0075044669,h
0.0163158446,0.0060791706,¬h
0.0103095794,0.0103679907,¬h
0.0119040358,0.0102012809,h
0.0055371320,0.0180735604,¬h
0.0018558173,0.0058733558,¬h
0.0034792036,0.0062832643,¬h
0.0079705764,0.0000000000,¬h
0.0030248216,0.0060144709,h
0.0040003941,0.0067986994,¬h
0.0057589511,0.0098335855,¬h
0.0023552401,0.0029929034,¬h
0.0015417331,0.0050398724,¬h
0.0111762287,0.0033004318,h
0.0057756246,0.0137361071,h
0.0089533807,0.0116702686,¬h
0.0030707071,0.0065909091,h
