@RELATION fundus

@ATTRIBUTE RED_MAX1 REAL
@ATTRIBUTE GREEN_AVG1 REAL
@ATTRIBUTE BLUE_AVG1 REAL
@ATTRIBUTE class {h,¬h}

@DATA
0.0061892131,0.0080991559,0.0248238186,¬h
0.0285276074,0.0079233160,0.0248071346,¬h
0.0105230579,0.0067913351,0.0240613027,h
0.0154165431,0.0077231082,0.0246305419,¬h
0.0090625885,0.0065898723,0.0249109540,¬h
0.0204858063,0.0077485878,0.0249286812,¬h
0.0245707519,0.0069454223,0.0249492076,¬h
0.0112927192,0.0038901680,0.0223738673,h
0.0215782984,0.0072339609,0.0255793026,h
0.0074673304,0.0080977275,0.0245545837,¬h
0.0069052103,0.0078768783,0.0252892746,¬h
0.0106351551,0.0068193700,0.0235224459,h
0.0101071975,0.0075536338,0.0230005516,h
0.0050790068,0.0014731228,0.0076168807,¬h
0.0096067247,0.0079113924,0.0245005654,¬h
0.0156657963,0.0077981337,0.0248223850,¬h
0.0159275453,0.0080731394,0.0248351648,¬h
0.0089605735,0.0076257782,0.0250165599,¬h
0.0306864916,0.0078287777,0.0239498895,¬h
0.0306804374,0.0076829598,0.0205086580,¬h
0.0105612553,0.0081437899,0.0246294185,h
0.0093429777,0.0078197664,0.0250593627,h
0.0105602816,0.0077256241,0.0251963241,h
0.0204144757,0.0081426406,0.0247501922,h
0.0093321668,0.0078727084,0.0245067385,¬h
0.0151206746,0.0060881736,0.0186893457,¬h
0.0070733864,0.0072302636,0.0248275862,¬h
0.0265433940,0.0076275450,0.0252978510,¬h
0.0125074449,0.0077019517,0.0249807840,h
0.0329877474,0.0078307645,0.0249738710,¬h
0.0221962617,0.0044404626,0.0159417929,¬h
0.0213479719,0.0079706308,0.0245098569,h
0.0117576123,0.0076852885,0.0246629183,¬h
0.0052003671,0.0060422444,0.0248347446,¬h
0.0062093436,0.0075918940,0.0243521097,¬h
0.0214631197,0.0075843914,0.0245196003,¬h
0.0081398854,0.0081011756,0.0249724851,h
0.0088678688,0.0081153421,0.0243962649,¬h
0.0114977307,0.0075739921,0.0251827243,¬h
0.0077136686,0.0076694959,0.0253844003,¬h
0.0041467305,0.0071428571,0.0259470561,¬h
0.0219000617,0.0080321571,0.0241873959,h
0.0102593331,0.0069012965,0.0262745780,h
0.0169805496,0.0078869411,0.0244002593,¬h
0.0124242424,0.0075583328,0.0256184841,h
