@RELATION fundus

@ATTRIBUTE RED_AVG2 REAL
@ATTRIBUTE BLUE_AVG1 REAL
@ATTRIBUTE class {h,¬h}

@DATA
0.0119805482,0.0248238186,¬h
0.0059509203,0.0248071346,¬h
0.0038378211,0.0240613027,h
0.0157130151,0.0246305419,¬h
0.0093599547,0.0249109540,¬h
0.0012584138,0.0249286812,¬h
0.0068235643,0.0249492076,¬h
0.0079940565,0.0223738673,h
0.0017416769,0.0255793026,h
0.0059738643,0.0245545837,¬h
0.0039077213,0.0252892746,¬h
0.0087887740,0.0235224459,h
0.0060183767,0.0230005516,h
0.0036681716,0.0076168807,¬h
0.0126088262,0.0245005654,¬h
0.0076008123,0.0248223850,¬h
0.0103216740,0.0248351648,¬h
0.0086768220,0.0250165599,¬h
0.0000000000,0.0239498895,¬h
0.0001822600,0.0205086580,¬h
0.0085998793,0.0246294185,h
0.0064345992,0.0250593627,h
0.0094602523,0.0251963241,h
0.0006186205,0.0247501922,h
0.0091134442,0.0245067385,¬h
0.0083745275,0.0186893457,¬h
0.0063071029,0.0248275862,¬h
0.0000447361,0.0252978510,¬h
0.0075044669,0.0249807840,h
0.0060791706,0.0249738710,¬h
0.0103679907,0.0159417929,¬h
0.0102012809,0.0245098569,h
0.0180735604,0.0246629183,¬h
0.0058733558,0.0248347446,¬h
0.0062832643,0.0243521097,¬h
0.0000000000,0.0245196003,¬h
0.0060144709,0.0249724851,h
0.0067986994,0.0243962649,¬h
0.0098335855,0.0251827243,¬h
0.0029929034,0.0253844003,¬h
0.0050398724,0.0259470561,¬h
0.0033004318,0.0241873959,h
0.0137361071,0.0262745780,h
0.0116702686,0.0244002593,¬h
0.0065909091,0.0256184841,h
