@RELATION fundus

@ATTRIBUTE GREEN_AVG1 REAL
@ATTRIBUTE class {h,¬h}

@DATA
0.0080991559,¬h
0.0079233160,¬h
0.0067913351,h
0.0077231082,¬h
0.0065898723,¬h
0.0077485878,¬h
0.0069454223,¬h
0.0038901680,h
0.0072339609,h
0.0080977275,¬h
0.0078768783,¬h
0.0068193700,h
0.0075536338,h
0.0014731228,¬h
0.0079113924,¬h
0.0077981337,¬h
0.0080731394,¬h
0.0076257782,¬h
0.0078287777,¬h
0.0076829598,¬h
0.0081437899,h
0.0078197664,h
0.0077256241,h
0.0081426406,h
0.0078727084,¬h
0.0060881736,¬h
0.0072302636,¬h
0.0076275450,¬h
0.0077019517,h
0.0078307645,¬h
0.0044404626,¬h
0.0079706308,h
0.0076852885,¬h
0.0060422444,¬h
0.0075918940,¬h
0.0075843914,¬h
0.0081011756,h
0.0081153421,¬h
0.0075739921,¬h
0.0076694959,¬h
0.0071428571,¬h
0.0080321571,h
0.0069012965,h
0.0078869411,¬h
0.0075583328,h
