@RELATION fundus

@ATTRIBUTE RED_AVG2 REAL
@ATTRIBUTE RED_MAX2 REAL
@ATTRIBUTE BLUE_AVG1 REAL
@ATTRIBUTE class {h,¬h}

@DATA
0.0119805482,0.0223990569,0.0248238186,¬h
0.0059509203,0.0205521472,0.0248071346,¬h
0.0038378211,0.0092850511,0.0240613027,h
0.0157130151,0.0254965906,0.0246305419,¬h
0.0093599547,0.0150099122,0.0249109540,¬h
0.0012584138,0.0038045069,0.0249286812,¬h
0.0068235643,0.0216104204,0.0249492076,¬h
0.0079940565,0.0124814264,0.0223738673,h
0.0017416769,0.0061652281,0.0255793026,h
0.0059738643,0.0102675793,0.0245545837,¬h
0.0039077213,0.0075329567,0.0252892746,¬h
0.0087887740,0.0147710487,0.0235224459,h
0.0060183767,0.0147013783,0.0230005516,h
0.0036681716,0.0101580135,0.0076168807,¬h
0.0126088262,0.0279195437,0.0245005654,¬h
0.0076008123,0.0124746156,0.0248223850,¬h
0.0103216740,0.0165521549,0.0248351648,¬h
0.0086768220,0.0173237754,0.0250165599,¬h
0.0000000000,0.0000000000,0.0239498895,¬h
0.0001822600,0.0015188335,0.0205086580,¬h
0.0085998793,0.0175015088,0.0246294185,h
0.0064345992,0.0126582278,0.0250593627,h
0.0094602523,0.0193605163,0.0251963241,h
0.0006186205,0.0024744819,0.0247501922,h
0.0091134442,0.0201224847,0.0245067385,¬h
0.0083745275,0.0194824077,0.0186893457,¬h
0.0063071029,0.0117889773,0.0248275862,¬h
0.0000447361,0.0005964808,0.0252978510,¬h
0.0075044669,0.0139964264,0.0249807840,h
0.0060791706,0.0226201697,0.0249738710,¬h
0.0103679907,0.0204439252,0.0159417929,¬h
0.0102012809,0.0289722476,0.0245098569,h
0.0180735604,0.0367802231,0.0246629183,¬h
0.0058733558,0.0094830223,0.0248347446,¬h
0.0062832643,0.0156712005,0.0243521097,¬h
0.0000000000,0.0000000000,0.0245196003,¬h
0.0060144709,0.0153753392,0.0249724851,h
0.0067986994,0.0124150163,0.0243962649,¬h
0.0098335855,0.0172465961,0.0251827243,¬h
0.0029929034,0.0064794816,0.0253844003,¬h
0.0050398724,0.0121212121,0.0259470561,¬h
0.0033004318,0.0092535472,0.0241873959,h
0.0137361071,0.0233684810,0.0262745780,h
0.0116702686,0.0200679222,0.0244002593,¬h
0.0065909091,0.0148484848,0.0256184841,h
