@RELATION fundus

@ATTRIBUTE RED_AVG2 REAL
@ATTRIBUTE RED_MAX2 REAL
@ATTRIBUTE GREEN_AVG1 REAL
@ATTRIBUTE class {h,¬h}

@DATA
0.0119805482,0.0223990569,0.0080991559,¬h
0.0059509203,0.0205521472,0.0079233160,¬h
0.0038378211,0.0092850511,0.0067913351,h
0.0157130151,0.0254965906,0.0077231082,¬h
0.0093599547,0.0150099122,0.0065898723,¬h
0.0012584138,0.0038045069,0.0077485878,¬h
0.0068235643,0.0216104204,0.0069454223,¬h
0.0079940565,0.0124814264,0.0038901680,h
0.0017416769,0.0061652281,0.0072339609,h
0.0059738643,0.0102675793,0.0080977275,¬h
0.0039077213,0.0075329567,0.0078768783,¬h
0.0087887740,0.0147710487,0.0068193700,h
0.0060183767,0.0147013783,0.0075536338,h
0.0036681716,0.0101580135,0.0014731228,¬h
0.0126088262,0.0279195437,0.0079113924,¬h
0.0076008123,0.0124746156,0.0077981337,¬h
0.0103216740,0.0165521549,0.0080731394,¬h
0.0086768220,0.0173237754,0.0076257782,¬h
0.0000000000,0.0000000000,0.0078287777,¬h
0.0001822600,0.0015188335,0.0076829598,¬h
0.0085998793,0.0175015088,0.0081437899,h
0.0064345992,0.0126582278,0.0078197664,h
0.0094602523,0.0193605163,0.0077256241,h
0.0006186205,0.0024744819,0.0081426406,h
0.0091134442,0.0201224847,0.0078727084,¬h
0.0083745275,0.0194824077,0.0060881736,¬h
0.0063071029,0.0117889773,0.0072302636,¬h
0.0000447361,0.0005964808,0.0076275450,¬h
0.0075044669,0.0139964264,0.0077019517,h
0.0060791706,0.0226201697,0.0078307645,¬h
0.0103679907,0.0204439252,0.0044404626,¬h
0.0102012809,0.0289722476,0.0079706308,h
0.0180735604,0.0367802231,0.0076852885,¬h
0.0058733558,0.0094830223,0.0060422444,¬h
0.0062832643,0.0156712005,0.0075918940,¬h
0.0000000000,0.0000000000,0.0075843914,¬h
0.0060144709,0.0153753392,0.0081011756,h
0.0067986994,0.0124150163,0.0081153421,¬h
0.0098335855,0.0172465961,0.0075739921,¬h
0.0029929034,0.0064794816,0.0076694959,¬h
0.0050398724,0.0121212121,0.0071428571,¬h
0.0033004318,0.0092535472,0.0080321571,h
0.0137361071,0.0233684810,0.0069012965,h
0.0116702686,0.0200679222,0.0078869411,¬h
0.0065909091,0.0148484848,0.0075583328,h
